Recast	3 Seconds	60 Seconds	3 Seconds	15 Seconds	60 Seconds	30 Seconds / 15 Seconds	60 Seconds	Periodically, once Enraged	N/A	150 Seconds	Follows use of Energy Charge	120 Seconds		
Boost						Vs. Toppled Targets: 100% Damage Boost		Restores 25% of Max HP	Aware	Enables use of Dark Ray	Negates Gravity Reflect			
Debuff		Stagger V & HP Recovery Down V		Topple VI	Flinch V, Fatigue V & Slow Arts III	Vs. Airborne Targets: Topple III	Knockback V & Time Bomb V				Stagger V & Gravity Res Down	Launch V & Gravity Res Down V		
Disabled by Destroying -			Back				Tail			Either Wing	Weak Point			
Homing			Yes			Yes								
														
Appendages	Main Body	Head	Chest	Weak Point	Back	Tail	Left Wing	Right Wing						
Hardness	N/A	0	3	-3 (Pharsis & Phanatos) / -4 (Zero)	0	0	0	0						
Skell Targetable	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes						
Exposed by -				Breaking Chest										
														
Species Drops														
Materials	Silver Yggralith Nut	Golden Yggralith Nut	Golden Yggralith Heart	Noble Yggralith Scale	Yggralith Gold	Black Yggralith Nut	Black Yggralith Scale	Yggralith Horn	White Yggralith Nut	White Yggralith Scale	Yggralith Recovery Horn			
Dropped From -	All	All	Awarded to party for reducing RP to 0	Awarded for Appraisals	Random Appendage Fragment after Nemesis is Beaten	All	All	All	All	All	All			Phanatos, the Netherlord
														
Use in Augments	N/A	N/A	N/A	N/A	N/A	Underdog Surge (High Level)	Ranged: TP Gain Up	Reflect Damage Up (High Level)	Cooldown Reducer (High Level)	Critical Surge (High Level)	Secondary Cooldwon Reducer (High Level)			
							Custome.WP-R-GP	Reflect.DAMAGE-UP (High Level)	Custom.WP-SPEED (High Level)					
Use in Gear Crafting	Reginal Gear	Regal Gear	True Gear	Infinite Gear	Infinite Gear									
	Regal Gear		Ares 90 Frame	True Gear	True Gear									
														
Armor	N/A													
Weapons	N/A													
Skell Armor	N/A													
Skell Weapons	N/A													
														
Extra	Zero	Pharsis												
	Destroyer's Skull	Reflect: Gravity												
	Destroyer's Torso	Reflect.ADD-GRAV												
	Destroyer's Heart													
	Destroyer's Tail													
	Destroyer's Plate													
	Destroyer's Left Wing													
	Destroyer's Right Wing													
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														Pharsis, the Everqueen
