Recast	3 Seconds	3 Seconds	15 Seconds	15 Seconds		15 Seconds		30 Seconds	60 Seconds	120 Seconds	30 Seconds	300 Seconds	40 Seconds	60 Seconds		60 Seconds		60 Seconds	60 Seconds	300 Seconds	300 Seconds	180 Seconds	180 Seconds	300 Seconds	N/A
Boost						Vs. Sleeping Target: 200% Damage Boost	N/A			Ranged Attack Up III		Restores HP & Regenerates All Appendages		Negate Ether Reflect	Negate Gravity Reflect			Negate Ether Reflect		Aware III	Calm III	Calm III	Calm III	Aware I	Enrage
Debuff	Knockback III on foot, Knockback I in Skell		Fatigue V & Topple VI	N/A	Vs. Airborne Targets: Topple V	Shock V	Shock V, Vs. Toppled Target: Stun V	Ether Res Down V	Debuff Res Down V & Drains TP/GP		Sleep V		Flinch V & Control V	Launch III on foot, Launch in skell		Launch V & Drains All TP/GP		Launch IV on foot, Launch II in Skell & HP Recovery Down V	Launch V, HP Recovery Down V and Drains All TP/GP						
Disabled by Destroying -			Tail																						
Homing		Yes		Yes																					
										Telethia															
Appendages	Main Body	Head	Chest	Tail	Left Wing	Left Wingtip	Right Wing	Right Wingtip																	
Hardness	N/A	0	0	0	0	0	0	0																	
Skell Targetable	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes																	
Exposed by -																									
																									
Species Drops				Nemesis Only																					
Materials	Telethia Mirror	Infinite Telethia Pen	Telethia Ring	Telethia Stem Cell	Telethia Emerald																				
Dropped From -	All	All	All	Awarded for Appraisals	Random Appendage Fragment after Nemesis is Beaten																				
																									
Use in Augments	N/A																								
																									
Use in Gear Crafting	Lv. 40 Archetype Weaponry	Lv. 60 Archetype Weaponry	White Bunnyband	Lv. 60 Archetype Weaponry	Supercivilsation Attire																				
	Lv. 60 Archetype Weaponry	Black Bunnyband	Bunny Attire	Supercivilsation Attire	Red Bunnyband																				
	Six Stars Ritual Attire			Red Bunnyband	White Bunnyband																				
	Black Bunnyband			White Bunnyband	Bunny Attire																				
				Bunny Attire																					
																									
Armor	Hibiscus (Plume Only)																								
Weapons	N/A																								
Skell Armor	N/A																								
Skell Weapons	N/A																								
																									
Extra	Plume	Endbringer																							
	Guardian's Skull	Reflect: Ether																							
	Guardian's Plate	Reflect.ADD-ETHER																							
	Guardian's Tail																								
	Guardian's Left Wing																								
	Guardian's Right Wing																								
	Guardian's Left Plume																								
	Guardian's Right Plume																								
