		Miranium costs for I/V/X/XV/XX are 100/100/100/1500/2000, unranked are just 100					Affixes already present on gear can have their ranks raised, so long as there are still enhancement slots available on the piece.																		
Melee Acc Boost I	Melee Acc +5%	1 Refined Horn	1 Muscled Suid Bulge	-	1 Aurorite																				
Melee Acc Boost V	Melee Acc +9%	2 Refined Horn	2 Muscled Suid Bulge	-	1 Infernium																				
Melee Acc Boost X	Melee Acc +14%	3 Refined Horn	3 Black Steel Heavy Armor	-	1 Cimmerian Cinnabar																				
Melee Acc Boost XV	Melee Acc +20%	4 Refined Horn	4 Black Steel Heavy Armor	-	1 Ouroboros Crystal																				
Melee Acc Boost XX	Melee Acc +25%	5 Refined Horn	4 Black Steel Heavy Armor	-	1 Parhelion Platinum																				
Ranged Acc Boost I	Ranged Acc +5%	1 Scratched Jewel	1 Appetizing Suid Tail	-	1 Aurorite																				
Ranged Acc Boost V	Ranged Acc +9%	2 Scratched Jewel	2 Appetizing Suid Tail	-	1 Infernium																				
Ranged Acc Boost X	Ranged Acc +14%	3 Scratched Jewel	3 Upgraded Spindle Part	-	1 Cimmerian Cinnabar																				
Ranged Acc Boost XV	Ranged Acc +20%	4 Scratched Jewel	4 Upgraded Spindle Part	-	1 Ouroboros Crystal																				
Ranged Acc Boost XX	Ranged Acc +25%	5 Scratched Jewel	5 Upgraded Spindle Part	-	1 Parhelion Platinum																				
Melee Attack Boost I	Melee Atk +5%	1 Pure White Caro Tusk	1 Thick Falsaxum Horn	1 Muscled Suid Bulge	1 White Cometite		Melee Atk +6%	Melee Atk +7%	Melee Atk +8%	Melee Atk +9%	Melee Atk +10%														
Melee Attack Boost V	Melee Atk +9%	2 Pure White Caro Tusk	2 Thick Falsaxum Horn	2 Muscled Suid Bulge	1 Dawnstone		1 Pure White Caro Tusk	1 Pure White Caro Tusk	1 Pure White Caro Tusk	2 Pure White Caro Tusk	2 Pure White Caro Tusk														
Melee Attack Boost X	Melee Atk +14%	8 Pure White Caro Tusk	8 Standard Blade Module	8 Lone Purple Ictus Stinger	2 Everfreeze Ore		1 Thick Falsaxum Horn	1 Thick Falsaxum Horn	1 Thick Falsaxum Horn	2 Thick Falsaxum Horn	2 Thick Falsaxum Horn														
Melee Attack Boost XV	Melee Atk +20%	24 Pure White Caro Tusk	24 Standard Blade Module	24 Lone Purple Ictus Stinger	8 Foucaultium		1 Muscled Suid Bulge	1 Muscled Suid Bulge	1 Muscled Suid Bulge	2 Muscled Suid Bulge	2 Muscled Suid Bulge														
Melee Attack Boost XX	Melee Atk +25%	48 Pure White Caro Tusk	48 Standard Blade Module	48 Lone Purple Ictus Stinger	16 Bonjelium																				
Ranged Attack Boost I	Ranged Atk +5%	1 Beryl Aetrygon Horn	1 Pure White Caro Tusk	1 Appetizing Suid Tail	1 White Cometite																				
Ranged Attack Boost V	Ranged Atk +9%	2 Beryl Aetrygon Horn	2 Pure White Caro Tusk	2 Appetizing Suid Tail	1 Dawnstone																				
Ranged Attack Boost X	Ranged Atk +14%	8 Beryl Aetrygon Horn	8 Black Petramand Silk	8 Lone White Ictus Stinger	2 Everfreeze Ore																				
Ranged Attack Boost XV	Ranged Atk +20%	24 Beryl Aetrygon Horn	24 Black Petramand Silk	24 Lone White Ictus Stinger	8 Foucaultium																				
Ranged Attack Boost XX	Ranged Atk +25%	48 Beryl Aetrygon Horn	48 Black Petramand Silk	48 Lone White Ictus Stinger	16 Bonjelium																				
Weapon Attack Power Up I	Weapon Atk +5%	1 Refined Horn	1 Insect Jaw	1 Strong Purgovent Extract	1 White Cometite																				
Weapon Attack Power Up V	Weapon Atk +25%	2 Refined Horn	2 Insect Jaw	2 Strong Purgovent Extract	1 Dawnstone																				
Weapon Attack Power Up X	Weapon Atk +50%	8 Quality Giant Cells	8 Visigel Poison Orb	8 Silver Cantor Tooth	2 Everfreeze Ore																				
Weapon Attack Power Up XV	Weapon Atk +75%	16 Quality Giant Cells	16 Visigel Poison Orb	16 Silver Cantor Tooth	4 Foucaultium																				
Weapon Attack Power Up XX	Weapon Atk +100%	32 Quality Giant Cells	32 Visigel Poison Orb	32 Silver Cantor Tooth	8 Bonjelium																				
Stabilizer I	Weapon Stability +10%	1 Poisonous Needle	-	-	1 Arc Sand Ore																				
Stabilizer V	Weapon Stability +18%	2 Poisonous Needle	-	-	1 Lionbone Bort																				
Stabilizer X	Weapon Stability +28%	3 Poisonous Needle	-	-	1 Enduron Lead																				
Stabilizer XV	Weapon Stability +40%	4 Poisonous Needle	-	-	1 Boiled-Egg Ore																				
Stabilizer XX	Weapon Stability +50%	5 Poisonous Needle	-	-	1 Marine Rutile																				
Destabilizer I	Weapon Stability -10%	1 Broken Pincer	-	-	1 Arc Sand Ore																				
Destabilizer V	Weapon Stability -18%	2 Broken Pincer	-	-	1 Lionbone Bort																				
Destabilizer X	Weapon Stability -28%	3 Broken Pincer	-	-	1 Enduron Lead																				
Destabilizer XV	Weapon Stability -40%	4 Broken Pincer	-	-	1 Boiled-Egg Ore																				
Destabilizer XX	Weapon Stability -50%	5 Broken Pincer	-	-	1 Marine Rutile																				
Magazine Capacity Up I	Ranged Wep Shots +1	1 Genuine Crank	1 Standard Shaft	1 Fine Black Belt	1 White Cometite																				
Magazine Capacity Up V	Ranged Wep Shots +5	2 Genuine Crank	2 Standard Shaft	2 Fine Black Belt	1 Dawnstone																				
Magazine Capacity Up X	Ranged Wep Shots +10	4 Genuine Crank	4 White Stabilizer	4 Sturdy Drakebone	2 Everfreeze Ore																				
Magazine Capacity Up XV	Ranged Wep Shots +15	8 Genuine Crank	8 White Stabilizer	8 Sturdy Drakebone	4 Foucaultium																				
Magazine Capacity Up XX	Ranged Wep Shots +20	16 Genuine Crank	16 White Stabilizer	16 Sturdy Drakebone	8 Bonjelium																				
Melee: TP Gain Up	Melee AA restore 50 TP	12 Upgraded Coil	12 Flaming Rock	12 Crimson Sacrifole Feather	12 White Cometite																				
Ranged: TP Gain Up	Ranged AA restore 20 TP	12 Genuine Frame	1 Black Yggralith Nut	12 Virago Alloy Plate	12 White Cometite																				
Cooldown Reducer I	AA Recast 2% faster	1 Quality Fuse	1 Golden Simius Mane	1 Upgraded Shaft Part	1 White Cometite																				
Cooldown Reducer V	AA Recast 10% faster	2 Quality Fuse	2 Golden Simius Mane	2 Upgraded Shaft Part	1 Dawnstone																				
Cooldown Reducer X	AA Recast 20% faster	3 Quality Fuse	3 Spathi Glyph	3 White Yggralith Nut	2 Everfreeze Ore																				
Cooldown Reducer XV	AA Recast 30% faster	6 Quality Fuse	4 Spathi Glyph	4 White Yggralith Nut	4 Foucaultium																				
Cooldown Reducer XX	AA Recast 40% faster	12 Quality Fuse	5 Spathi Glyph	5 White Yggralith Nut	16 Bonjelium																				
Firing Range Up I	Ranged Wep range +5m	1 Turba Straw	1 Used Cylinder	-	1 Aurorite																				
Firing Range Up V	Ranged Wep range +9m	2 Turba Straw	2 Used Cylinder	-	1 Infernium																				
Firing Range Up X	Ranged Wep range +14m	3 Turba Straw	3 Coronid Larynx	-	1 Cimmerian Cinnabar																				
Firing Range Up XV	Ranged Wep range +20m	4 Turba Straw	4 Coronid Larynx	-	1 Ouroboros Crystal																				
Firing Range Up XX	Ranged Wep range +25m	5 Turba Straw	5 Coronid Larynx	-	1 Parhelion Platinum																				
Critical Chance Up I	Crit Rate +1	1 Oc-serv Hand	1 Ziggian Long Antennae	1 Forfex Miso	1 White Cometite																				
Critical Chance Up V	Crit Rate +5	2 Oc-serv Hand	2 Ziggian Long Antennae	2 Forfex Miso	1 Dawnstone																				
Critical Chance Up X	Crit Rate +10	3 Oc-serv Hand	3 Lone Red Ictus Stinger	3 Spiked Tail Fin	1 Everfreeze Ore																				
Critical Chance Up XV	Crit Rate +15	4 Oc-serv Hand	4 Lone Red Ictus Stinger	4 Spiked Tail Fin	1 Foucaultium																				
Critical Chance Up XX	Crit Rate +20	5 Oc-serv Hand	5 Lone Red Ictus Stinger	5 Spiked Tail Fin	1 Bonjelium																				
Theroid Criticals Up I	Crit Rate vs Theroids +2	1 Fleecy Fur	-	-	1 Arc Sand Ore																				
Theroid Criticals Up V	Crit Rate vs Theroids +10	2 Fleecy Fur	-	-	1 Lionbone Bort																				
Theroid Criticals Up X	Crit Rate vs Theroids +20	3 Fleecy Fur	-	-	1 Enduron Lead																				
Theroid Criticals Up XV	Crit Rate vs Theroids +30	4 Fleecy Fur	-	-	1 Boiled-Egg Ore																				
Theroid Criticals Up XX	Crit Rate vs Theroids +50	5 Fleecy Fur	-	-	1 Marine Rutile																				
Insectoid Criticals Up I	Crit Rate vs Insectoids +2	1 Tatty Insect Wing	-	-	1 Arc Sand Ore		crit rate +4	crit rate +6	crit rate +8																
Insectoid Criticals Up V	Crit Rate vs Insectoids +10	2 Tatty Insect Wing	-	-	1 Lionbone Bort		1 Tatty Insect Wing	1 torn bugwing	1 torn bugwing																
Insectoid Criticals Up X	Crit Rate vs Insectoids +20	3 Tatty Insect Wing	-	-	1 Enduron Lead																				
Insectoid Criticals Up XV	Crit Rate vs Insectoids +30	4 Tatty Insect Wing	-	-	1 Boiled-Egg Ore																				
Insectoid Criticals Up XX	Crit Rate vs Insectoids +50	5 Tatty Insect Wing	-	-	1 Marine Rutile																				
Piscinoid Criticals Up I	Crit Rate vs Piscinoids +2	1 Small Dorsal Fin	-	-	1 Arc Sand Ore																				
Piscinoid Criticals Up V	Crit Rate vs Piscinoids +10	2 Small Dorsal Fin	-	-	1 Lionbone Bort																				
Piscinoid Criticals Up X	Crit Rate vs Piscinoids +20	3 Small Dorsal Fin	-	-	1 Enduron Lead																				
Piscinoid Criticals Up XV	Crit Rate vs Piscinoids +30	4 Small Dorsal Fin	-	-	1 Boiled-Egg Ore																				
Piscinoid Criticals Up XX	Crit Rate vs Piscinoids +50	5 Small Dorsal Fin	-	-	1 Marine Rutile																				
Humanoid Criticals Up I	Crit Rate vs Humanoids +2	1 Broken Buckle	-	-	1 Arc Sand Ore																				
Humanoid Criticals Up V	Crit Rate vs Humanoids +10	2 Broken Buckle	-	-	1 Lionbone Bort																				
Humanoid Criticals Up X	Crit Rate vs Humanoids +20	3 Broken Buckle	-	-	1 Enduron Lead																				
Humanoid Criticals Up XV	Crit Rate vs Humanoids +30	4 Broken Buckle	-	-	1 Boiled-Egg Ore																				
Humanoid Criticals Up XX	Crit Rate vs Humanoids +50	5 Broken Buckle	-	-	1 Marine Rutile																				
Mechanoid Criticals Up I	Crit Rate vs Mechanoids +2	1 Standard Crank	-	-	1 Arc Sand Ore																				
Mechanoid Criticals Up V	Crit Rate vs Mechanoids +10	2 Standard Crank	-	-	1 Lionbone Bort																				
Mechanoid Criticals Up X	Crit Rate vs Mechanoids +20	3 Standard Crank	-	-	1 Enduron Lead																				
Mechanoid Criticals Up XV	Crit Rate vs Mechanoids +30	4 Standard Crank	-	-	1 Boiled-Egg Ore																				
Mechanoid Criticals Up XX	Crit Rate vs Mechanoids +50	5 Standard Crank	-	-	1 Marine Rutile																				
Chimeroid Criticals Up I	Crit Rate vs Chimeroids +2	1 Sticky Mucus	1 Bloodied Face	1 Fine White Belt	1 White Cometite																				
Chimeroid Criticals Up V	Crit Rate vs Chimeroids +10	2 Sticky Mucus	2 Bloodied Face	2 Fine White Belt	1 Dawnstone																				
Chimeroid Criticals Up X	Crit Rate vs Chimeroids +20	3 Sticky Mucus	3 Black Colubrium Tail	3 Brown Colubrium Tail	1 Everfreeze Ore																				
Chimeroid Criticals Up XV	Crit Rate vs Chimeroids +30	4 Sticky Mucus	4 Black Colubrium Tail	4 Brown Colubrium Tail	1 Foucaultium																				
Chimeroid Criticals Up XX	Crit Rate vs Chimeroids +50	5 Sticky Mucus	5 Black Colubrium Tail	5 Brown Colubrium Tail	1 Bonjelium																				
Ultrafauna Criticals Up I	Crit Rate vs Ultrafauna +2	1 Thick Cinicula Horn	1 Black Electrical Tentacle	1 Hot Potamus Juice	1 White Cometite																				
Ultrafauna Criticals Up V	Crit Rate vs Ultrafauna +10	2 Thick Cinicula Horn	2 Black Electrical Tentacle	2 Hot Potamus Juice	1 Dawnstone																				
Ultrafauna Criticals Up X	Crit Rate vs Ultrafauna +20	3 Thick Cinicula Horn	3 Reverse Colubrim Fin	3 Colubrim Eel Kebab	1 Everfreeze Ore																				
Ultrafauna Criticals Up XV	Crit Rate vs Ultrafauna +30	4 Thick Cinicula Horn	4 Reverse Colubrim Fin	4 Colubrim Eel Kebab	1 Foucaultium																				
Ultrafauna Criticals Up XX	Crit Rate vs Ultrafauna +50	5 Thick Cinicula Horn	5 Reverse Colubrim Fin	5 Colubrim Eel Kebab	1 Bonjelium																				
Extend Critical Power I	Crit Pow extended by 1s	1 Gremlin Stone	1 Blue Progen Wing	1 Pristine Pincer	1 White Cometite																				
Extend Critical Power V	Crit Pow extended by 5s	2 Gremlin Stone	2 Blue Progen Wing	2 Pristine Pincer	1 Dawnstone																				
Extend Critical Power X	Crit Pow extended by 10s	3 Gremlin Stone	3 Ornate Petramand Claw	3 Lophid Jaw Meat	1 Everfreeze Ore																				
Extend Critical Power XV	Crit Pow extended by 15s	4 Gremlin Stone	4 Ornate Petramand Claw	4 Lophid Jaw Meat	1 Foucaultium																				
Extend Critical Power XX	Crit Pow extended by 20s	5 Gremlin Stone	5 Ornate Petramand Claw	5 Lophid Jaw Meat	1 Bonjelium																				
Theroid Slayer I	Dmg vs Theroids +10%	1 Fleecy Fur	-	-	1 Arc Sand Ore																				
Theroid Slayer V	Dmg vs Theroids +18%	2 Fleecy Fur	-	-	1 Lionbone Bort																				
Theroid Slayer X	Dmg vs Theroids +28%	3 Fleecy Fur	-	-	1 Enduron Lead																				
Theroid Slayer XV	Dmg vs Theroids +40%	4 Fleecy Fur	-	-	1 Boiled-Egg Ore																				
Theroid Slayer XX	Dmg vs Theroids +50%	5 Fleecy Fur	-	-	1 Marine Rutile																				
Insectoid Slayer I	Dmg vs Insectoids +10%	1 Tatty Insect Wing	-	-	1 Arc Sand Ore																				
Insectoid Slayer V	Dmg vs Insectoids +18%	2 Tatty Insect Wing	-	-	1 Lionbone Bort																				
Insectoid Slayer X	Dmg vs Insectoids +28%	3 Tatty Insect Wing	-	-	1 Enduron Lead																				
Insectoid Slayer XV	Dmg vs Insectoids +40%	4 Tatty Insect Wing	-	-	1 Boiled-Egg Ore																				
Insectoid Slayer XX	Dmg vs Insectoids +50%	5 Tatty Insect Wing	-	-	1 Marine Rutile																				
Piscinoid Slayer I	Dmg vs Piscinoids +10%	1 Small Dorsal Fin	-	-	1 Arc Sand Ore																				
Piscinoid Slayer V	Dmg vs Piscinoids +18%	2 Small Dorsal Fin	-	-	1 Lionbone Bort																				
Piscinoid Slayer X	Dmg vs Piscinoids +28%	3 Small Dorsal Fin	-	-	1 Enduron Lead																				
Piscinoid Slayer XV	Dmg vs Piscinoids +40%	4 Small Dorsal Fin	-	-	1 Boiled-Egg Ore																				
Piscinoid Slayer XX	Dmg vs Piscinoids +50%	5 Small Dorsal Fin	-	-	1 Marine Rutile																				
Humanoid Slayer I	Dmg vs Humanoids +10%	1 Broken Buckle	-	-	1 Arc Sand Ore																				
Humanoid Slayer V	Dmg vs Humanoids +18%	2 Broken Buckle	-	-	1 Lionbone Bort																				
Humanoid Slayer X	Dmg vs Humanoids +28%	3 Broken Buckle	-	-	1 Enduron Lead																				
Humanoid Slayer XV	Dmg vs Humanoids +40%	4 Broken Buckle	-	-	1 Boiled-Egg Ore																				
Humanoid Slayer XX	Dmg vs Humanoids +50%	5 Broken Buckle	-	-	1 Marine Rutile																				
Mechanoid Slayer I	Dmg vs Mechanoids +10%	1 Standard Crank	-	-	1 Arc Sand Ore																				
Mechanoid Slayer V	Dmg vs Mechanoids +18%	2 Standard Crank	-	-	1 Lionbone Bort																				
Mechanoid Slayer X	Dmg vs Mechanoids +28%	3 Standard Crank	-	-	1 Enduron Lead																				
Mechanoid Slayer XV	Dmg vs Mechanoids +40%	4 Standard Crank	-	-	1 Boiled-Egg Ore																				
Mechanoid Slayer XX	Dmg vs Mechanoids +50%	5 Standard Crank	-	-	1 Marine Rutile																				
Chimeroid Slayer I	Dmg vs Chimeroid +10%	1 Sticky Mucus	1 Bloodied Face	1 Fine White Belt	1 White Cometite																				
Chimeroid Slayer V	Dmg vs Chimeroid +18%	2 Sticky Mucus	2 Bloodied Face	2 Fine White Belt	1 Dawnstone																				
Chimeroid Slayer X	Dmg vs Chimeroid +28%	3 Sticky Mucus	3 Yellow Millepod Rock	3 Millepod Ice Rock	1 Everfreeze Ore																				
Chimeroid Slayer XV	Dmg vs Chimeroid +40%	4 Sticky Mucus	4 Yellow Millepod Rock	4 Millepod Ice Rock	1 Foucaultium																				
Chimeroid Slayer XX	Dmg vs Chimeroid +50%	5 Sticky Mucus	5 Yellow Millepod Rock	5 Millepod Ice Rock	1 Bonjelium																				
Ultrafauna Slayer I	Dmg vs Ultrafauna +10%	1 White Forfex Shell	1 Black Electrical Tentacle	1 Hot Potamus Juice	1 White Cometite																				
Ultrafauna Slayer V	Dmg vs Ultrafauna +18%	2 White Forfex Shell	2 Black Electrical Tentacle	2 Hot Potamus Juice	1 Dawnstone																				
Ultrafauna Slayer X	Dmg vs Ultrafauna +28%	3 White Forfex Shell	3 Reverse Millepod Fin	3 Deva Caladar's Red Ear	1 Everfreeze Ore																				
Ultrafauna Slayer XV	Dmg vs Ultrafauna +40%	4 White Forfex Shell	4 Reverse Millepod Fin	4 Deva Caladar's Red Ear	1 Foucaultium																				
Ultrafauna Slayer XX	Dmg vs Ultrafauna +50%	5 White Forfex Shell	5 Reverse Millepod Fin	5 Deva Caladar's Red Ear	1 Bonjelium																				
Physical Attack Plus I	Physical dmg +10%	1 Sharp Germivore Jaw	1 Giant Falsaxum Jaw	-	1 Aurorite																				
Physical Attack Plus V	Physical dmg +18%	2 Sharp Germivore Jaw	2 Giant Falsaxum Jaw	-	1 Infernium																				
Physical Attack Plus X	Physical dmg +28%	3 Experia Glyph	3 Reinforced Frame	-	1 Cimmerian Cinnabar																				
Physical Attack Plus XV	Physical dmg +40%	4 Experia Glyph	4 Reinforced Frame	-	1 Ouroboros Crystal																				
Physical Attack Plus XX	Physical dmg +50%	5 Experia Glyph	5 Reinforced Frame	-	1 Parhelion Platinum																				
Beam Attack Plus I	Beam dmg +10%	1 Quirky Liver	1 Gold Monoceros Horn	-	1 Aurorite																				
Beam Attack Plus V	Beam dmg +18%	2 Quirky Liver	2 Gold Monoceros Horn	-	1 Infernium																				
Beam Attack Plus X	Beam dmg +28%	3 Esse Glyph	3 Advanced Lens	-	1 Cimmerian Cinnabar																				
Beam Attack Plus XV	Beam dmg +40%	4 Esse Glyph	4 Advanced Lens	-	1 Ouroboros Crystal																				
Beam Attack Plus XX	Beam dmg +50%	5 Esse Glyph	5 Advanced Lens	-	1 Parhelion Platinum																				
Ether Attack Plus I	Ether dmg +10%	1 Elemental Fragment	1 Golden Progen Wing	-	1 Aurorite																				
Ether Attack Plus V	Ether dmg +18%	2 Elemental Fragment	2 Golden Progen Wing	-	1 Infernium																				
Ether Attack Plus X	Ether dmg +28%	3 Creare Glyph	3 Purple Cervus Antlers	-	1 Cimmerian Cinnabar																				
Ether Attack Plus XV	Ether dmg +40%	4 Creare Glyph	4 Purple Cervis Antlers	-	1 Ouroboros Crystal																				
Ether Attack Plus XX	Ether dmg +50%	5 Creare Glyph	5 Purple Cervus Antlers	-	1 Parhelion Platinum																				
Thermal Attack Plus I	Thermal dmg +10%	1 Reinforced Plunger	1 Herculean Beast Hair	-	1 Aurorite																				
Thermal Attack Plus V	Thermal dmg +18%	2 Reinforced Plunger	2 Black Meaty Caecus Liver	-	1 Infernium																				
Thermal Attack Plus X	Thermal dmg +28%	3 Experia Glyph	3 Jacul Horn	-	1 Cimmerian Cinnabar																				
Thermal Attack Plus XV	Thermal dmg +40%	4 Experia Glyph	4 Jacul Horn	-	1 Ouroboros Crystal																				
Thermal Attack Plus XX	Thermal dmg +50%	5 Experia Glyph	5 Jacul Horn	-	1 Parhelion Platinum																				
Electric Attack Plus I	Electric dmg +10%	1 Quo Pod	1 Black Scintimure Tentacle	-	1 Aurorite																				
Electric Attack Plus V	Electric dmg +18%	2 Vivohast Crescent Hook	2 Black Scintimure Tentacle	-	1 Infernium																				
Electric Attack Plus X	Electric dmg +28%	3 Scienti Glyph	3 Reinforced Plug	-	1 Cimmerian Cinnabar																				
Electric Attack Plus XV	Electric dmg +40%	4 Scienti Glyph	4 Reinforced Plug	-	1 Ouroboros Crystal																				
Electric Attack Plus XX	Electric dmg +50%	5 Scienti Glyph	5 Reinforced Plug	-	1 Parhelion Platinum																				
Gravity Attack Plus I	Gravity dmg +10%	1 Black Gyrocompass	1 Visigel Waterfall Orb	-	1 Aurorite																				
Gravity Attack Plus V	Gravity dmg +18%	2 Black Gyrocompass	2 Visigel Waterfall Orb	-	1 Infernium																				
Gravity Attack Plus X	Gravity dmg +28%	3 Esse Glyph	3 Gold Sylooth Brace	-	1 Cimmerian Cinnabar																				
Gravity Attack Plus XV	Gravity dmg +40%	4 Esse Glyph	4 Gold Sylooth Brace	-	1 Ouroboros Crystal																				
Gravity Attack Plus XX	Gravity dmg +50%	5 Esse Glyph	5 Gold Sylooth Brace	-	1 Parhelion Platinum																				
Front Attack Plus I	Dmg from Front +5%	1 Cracked Bill	1 Auravis Horn	-	1 Aurorite																				
Front Attack Plus V	Dmg from Front +9%	2 Cracked Bill	2 Auravis Horn	-	1 Infernium																				
Front Attack Plus X	Dmg from Front +14%	3 Cracked Bill	3 Black Vigent Rock Scalp	-	1 Cimmerian Cinnabar																				
Front Attack Plus XV	Dmg from Front +20%	4 Cracked Bill	4 Black Vigent Rock Scalp	-	1 Ouroboros Crystal																				
Front Attack Plus XX	Dmg from Front +25%	5 Cracked Bill	5 Black Vigent Rock Scalp	-	1 Parhelion Platinum																				
Side Attack Plus I	Dmg from Side +5%	1 Pristine Claw	1 Green Blatta Wing	-	1 Aurorite																				
Side Attack Plus V	Dmg from Side +9%	2 Pristine Claw	2 Green Blatta Wing	-	1 Infernium																				
Side Attack Plus X	Dmg from Side +14%	3 Pristine Claw	3 Ingrown Virago Claw	-	1 Cimmerian Cinnabar																				
Side Attack Plus XV	Dmg from Side +20%	4 Pristine Claw	4 Ingrown Virago Claw	-	1 Ouroboros Crystal																				
Side Attack Plus XX	Dmg from Side +25%	5 Pristine Claw	5 Ingrown Virago Claw	-	1 Parhelion Platinum																				
Back Attack Plus I	Dmg from Back +5%	1 Jagged Grex Tail	1 Ebony Evello Egg	-	1 Aurorite																				
Back Attack Plus V	Dmg from Back +9%	2 Jagged Grex Tail	2 Ebony Evello Egg	-	1 Infernium																				
Back Attack Plus X	Dmg from Back +14%	3 Jagged Grex Tail	3 Purple Virago Alloy Plate	-	1 Cimmerian Cinnabar																				
Back Attack Plus XV	Dmg from Back +20%	4 Jagged Grex Tail	4 Purple Virago Alloy Plate	-	1 Ouroboros Crystal																				
Back Attack Plus XX	Dmg from Back +25%	5 Jagged Grex Tail	5 Purple Virago Alloy Plate	-	1 Parhelion Platinum																				
Vantage Attack Plus I	Dmg from Above +5%	1 Supple Leather	-	-	1 Arc Sand Ore																				
Vantage Attack Plus V	Dmg from Above +9%	2 Supple Leather	-	-	1 Lionbone Bort																				
Vantage Attack Plus X	Dmg from Above +14%	3 Supple Leather	-	-	1 Enduron Lead																				
Vantage Attack Plus XV	Dmg from Above +20%	4 Supple Leather	-	-	1 Boiled-Egg Ore																				
Vantage Attack Plus XX	Dmg from Above +25%	5 Supple Leather	-	-	1 Marine Rutile																				
Melee: Blackout I	Melee AA may inflict Blackout I	1 Ovis Polishing Stone	-	-	1 Arc Sand Ore																				
Melee: Blackout V	Melee AA may inflict Blackout I	2 Ovis Polishing Stone	-	-	1 Lionbone Bort																				
Melee: Blackout X	Melee AA may inflict Blackout II	3 Ovis Polishing Stone	-	-	1 Enduron Lead																				
Melee: Blackout XV	Melee AA may inflict Blackout III	4 Ovis Polishing Stone	-	-	1 Boiled-Egg Ore																				
Melee: Blackout XX	Melee AA may inflict Blackout IV	5 Ovis Polishing Stone	-	-	1 Marine Rutile																				
