									
Zone/ Category	Probe/ Figure	Filling in a RED(starred ingame) cell gains 2 BP. Completing a category for a single Zone gains 5 BP and a Figure. Completing a category across all five zones gains 16 BP. Completing an entire Zone gains 32 BP and a Probe.					Bold items can be found anywhere in the Zone		
Vegetables	Fulge Series	Gubura Cabbage Leaf | 310,311,316	Shinuyuni Garlic | 315,318,321	Cosse Bean | 310,311,316	Beagflea Squash | 310,311,316,caves	Will Pepper | 309,312,Bute	Charupa Leaves | 310,311,316	Dobobora Broccoli | 305,308,320	
Fruits	Raygun Series	Suna Watermelon | 315,318,321	Royal Grape | 309,312,Bute	Kiwegg | 310,311,316	Spiked Pomegranate | 315,318,321				
Flora	Retic Series	Jobo Primrose | 313,314,317,319	Gudo Rocambole | 322	Blast Chard | 315,318,321	Mya Oats | 320	Myuena Cactus | 305,308	Kepha Holly | 313,314,317,319		
Fauna	Sakuraba Medium (Female)	Doragaroo | 305,308	Phantom Tanuki | 309,312	Denemozumi Mouse | 313,314,317,319	Octo-Suka | 315,318,321	Jet Turtle | 322	Sand Cucumber | 305,308	Gormless Monkey | 301~304,306,307	Fleeting Baboon | 315,318,321
Insects	Launchers Series	Fullbelly Gecko | 301~304,306,307	Moleworm | caves	Imposter Bug | 305,308	Shadow Fly | 305,308	Common Stick Insect | 305,308	Whip Scorpion | 315,318,321	Slasher Beetle | 313,314,317,319	
Natural Artifacts	Sakuraba Light (Male)	Wainess Fossil | 309,312,Bute,caves	Zedis Twig | 310,311,316	Exubera Stalactite | 320,322	Silvery Cactus Resin | 309,312,Bute	Kridokan Air | 315,318,321,caves			
Wreckage	Riv Series	Cruise Deflector AiR | 301~304,306,307	Multi-Mirror Solar Drone | 301~304,306,307	5th Gen Recycler | 301~304,306,307	L-002 Degeneration Reactor | 301~304,306,307,322				
Relics	Machine II Series	Spine-O-Corrector | 313,314,317,319	Thornbox | 309,312,Bute	Perished Stone Spear | 320	Sandstone Etching | 309,312,Bute,caves	Magical Finding Rod | 301~304,306,307	Ouroboros Bracelet | 322	Drum of Valor | caves	Nopolith | 309~312, 316,Bute
Xenotech	Spear Series	Ultra Filter | 310,311,316	Eradicator Eyepiece | 322	Sacrificial Reactor | 301~304,306,307	Steel Tail Sheath | 322	Horned Helmet | 313,314,317,319	Warbone | 322		
Curios	Sakuraba Heavy (Male)	Strong Iron | 320	Chameleon Sand | 320,Bute	Venus Jewel | caves	Echo Rock | 313,314,317, 319,caves	Illogical Etchings | 313,314,317,319,320	Angel Stone | 305,308	Lost Memory Synthesizer | 320	
									
Sylvalum	Mining Probe G10								
Vegetables	Sakuraba Skell (Female)	Ruge Daikon | 401,402	Dosoram Bean | 405,409,414, 417,Ciel	Yaya Sesame | caves	Pale Maize | DelusianMt	Mizaria Celery | Ciel			
Fruits	Slair Series	Shido Persimmon | caves	Coldberry | 401,402,405, 409,414,417	White Cassis | 412,413,415	Emerald Grape | caves	Cluster Papaya | 405,409,414,417			
Flora	Grenada Light (Male)	Bude Mugwort | 405,409,414,417	Exploding Pansy | 403	Sese Lily | MagicMt.	Antorus Rose | 403,Ciel	Shia Cattleya | 401~403			
Fauna	Repethe Series	Diresheep | DelusianMt,caves	Medusa Squid | caves	Beaporge | 404,406,407,410	Penginion | DelusianMt,caves				
Insects	Spear II Series	White Sand Beetle | 412,413,415	Baibai Beetle | Ciel	Glassy Cricket | DelusianMtBase	Rainy Cricket | DelusianMt	Crystal Butterfly | 403	Snowy Angelhair | 403,Ciel		
Natural Artifacts	Sniper Rifle II Series	Dring Slick | caves	Acton Rock Shards | 404,406,407,410	Fullerene Coral | DelusianMtBase	Taoman Acid | 403	Grandan Rock | 401,402	Jagitos Copper | 405,409,414,417	Pomio Spore | 403,412,413,415	
Wreckage	Grenada Heavy (Female)	Cordless Transformer | Ciel	Hard Skin | 412,413,415, DelusianMtBase	Decoy DNA | 404,406,407,410,Ciel	L-002 Dagoo Heat Ray | 412,413,415, DelusianMtBase	A-HAB Autonomous AI | 412,413,415, DelusianMtBase			
Relics	Knife II Series	Yabuyabu Ointment | Ciel	Straw Buoy | 401,402	Spore Balloon | 405,409,414,417	Stargazer | DelusianMt	Camocloak | 412,413,415	Spirit Wand | 401,402		
Xenotech	Assault II Series	Shimmering Skin | 403	Detilid Device | caves	Missile Wiring | 404,406,407,410	Berzerker Unit | 404,406,407,410	Thunderbolt Emblem | 404,406,407,410, DelusianMtBase	Trying Crown | 405,409,414,417	Intelligent Liquid Metal | 401,402,404, 406,407,410	
Curios	Grenada Skell (Female)	Double Helical Salt | DelusianMtBase	Brilliant Green Liquid | 404,406,407,410	Flowering Egg | 412,413,415	Queen's Rapture | DelusianMt	Stone Screw | 401,402	Starmaker | 405,409,414,417	Hello Transmitter | DelusianMtBase	Affinity Soulchain | DelusianMt
									
Cauldros	Storage Probe								
Vegetables	Grenada Light (Female)	Kyatara Onion | 507	Charged Cayenne | caves	Brambloo Shoot | 502,504,507	Belzadozebu Scallions | 503				
Fruits	Grenada Skell (Male)	Gyulali | 507	Lava Chestnut | 504~506,508,512	Iron Akebi Fruit | 514,515	Mottled Mums | 502,504,507	Nightmare Pineapple | 502,504,507			
Flora	Sword Series	Poron Tulip | 503,513,516	Jaharmum | 504~508,512	Bogano Weed | 513,516	Muranadium | 504~506,508, 512,513,516				
Fauna	Blade II Series	Gun Snake | 502,504	Demon Boar | caves	Dulcet Goose | 513,516	Lava Fox | caves	Gibney Jackal | 503,caves			
Insects	Ralzes Series	Shooting Firefly | 507	Abyssal Cricket | 502,504	Cetecegem Beetle | caves	Bullet Fly | 502,504,caves	Prickly Cricket | caves			
Natural Artifacts	Sniper Rifle Series	Cooling Lava | 504~506,508,512	Zalon Dirt | 513,516	Rogebra Shockstone | 509,511,513,516	Autiga Powder | 503	Zagyrin Cragstone | 504~506,508, 512,513,516	Cliord Oil | 504~506,508,512		
Wreckage	Fulge II Series	Solar Wind Converter | Castle	Oxygen Airbrake | 509,511	Exalting Paint | 509,511	Autoposturizer | Castle	Planter | 503,Castle	FN Prototype 3 | 509,511	Octopus Regulator | 503	
Relics	Lastyr II Series	Chrampoline | 502,504	Sharpening Stone | 503	Charred Rock | 504~506,508,512	Stone Lens | caves	Dark Lantern | 507	Icarus Wings | 514,515	Bogano Sleeping Bag | 502,504	Extra-Large Cash Box | 514,515
Xenotech	Sword II Series	Pan-Analysis Chips | 503	Savage Claw | Castle	Elemental Battery | 514,515	Spacial Control Jointer | 509,511,Castle	Dithblade Fragment | Castle	Voltant Scanner | 509,511,Castle		
Curios	For Granada Heavy man (グラナダ・ヘヴィ男用)	Mega Muscle Builder | 514,515	Rod of Brutality +10 | 513,516	Capricious Kettle | 504~506,508,512	Megajolt Rattle | 514,515	Superior Scepter | 514,515	Doom Mask | 509,511	Savage Sketch | 514,515	Book of Death and Rebirth | 509,511,Castle
