the	currently replacing Japanese names with English							You can purchase all enemy drops from the online console in the BLADE Barracks using Reward Tickets.			
Name	Client	Location	Story	Prereqs	Gold	Exp	Reward	Objectives	Notes		
Lesson from the Grave	Kupee	Sylvalum	4	daytime	12000	200	-	Investigate three spots at East Ciel Sandsea; Needle Rock Sandsea; and North Ciel Sandsea in Sylvalum; Talk to Kupee(daytime); Head to the designated coordinates; Talk to Kupee	Watch out with the Needle Rock Sandsea grave; a Shadow Germivore is waiting to ruse you		
Booming Business	L	Admin District	5	-	10000	180	Dark Suit;L's shop becomes available	Explore Oblivia>30%; Talk to Regina; collect 5 Slimy Epithelium; 5 Strong Iron; and 2 Zedis Twigs; Head to L's shop; Use L's shop to open an Augment slot on any piece of equipment	Slimy Epithelium drops from Caecuses. Cowardly ones roam around 503; Sludge are near 205/220(low). Zedis Twigs are found around Lake Basel; Strong Iron is found anywhere in Oblivia		
The Handy Ma-non	Sostenasa	Admin District (Hangar)	5	-	11000	200	Crank Series	Collect 5 Stripped Plating; 3 Quality Fuses; Deliver them to Sostenasa; choose "" for A or "" for B A: Collect 1 Honey Oil and 1 Windshield Glass; Deliver them to Sostenasa B: Quest ends;	Stripped Plating and Quality Fuses drop from Pugiliths; the lone one in Seaswept Base is easiest. Completing the extra objectives  just changes Sostenasa's affinity. Honey Oil drops from breaking Cinicula's weak spot after breaking the horn; Copper Ciniculas can be found east and north of Sayram Lake. The Windshield Glass is in a chest near 116		
Missing in Action	Jitsu	Noctilum	5	BFFs;Tatsu(Lin) must be in the party	12000	200	Fig: Great Fisher Koko;Wild Bunny Whiskers	Find Satsu in Humdrum Peaks; Talk to Jitsu; Find Yoyotsu at Seabound Coil Tree; Find Gotsu at Sunlit Spring; Find Mumutsu at Decapotamon; Talk to Jitsu			
The Fashionista	Victoria	Commercial District (Central Melville Street)	6	-	12000	220	Fig: C&C Medium (Female);Upgraded Swimsuit Top;Upgraded Swimer's Band R;Upgraded Swimmer's Band L	Ask Veverta; Aalis and Vyponne for their measurements; Collect 5 Supple Leather; Deliver them to Victoria; Collect 5 Mondcherries and 3 Sona Herbs; Talk to Panyar; and choose between the Mondcherry and Sona Herb	Supple Leather drops from Lepyxes; low level ones are found west of NLA. The choice at the end only affects dialogue; including future dialogue between Ma-non about the perfume		
Close Encounters	Sarona	Admin District (East Gate)	6	-	15000	250	Fig: Twins Series;Upgraded Diving Bodywear;Upgraded Diving Band R;Upgraded Diving Band L	Talk to Sarona on the second terrane of Talon Rock in Primordia; Collect 3 Lionbone Borts and 2 Foucaltium; Approach Sarona; Talk to Sarona on the third terrane; Defeat 1 Slab Cinicula; Talk to Sarona; Head to Castaway Cavern; Defeat 1 Abyssal Blatta; Talk to Inisae	Lionbone Bort and Foucaltium are mined automatically from FN Sites with those resources available.		
Predator and Prey	Dirk	Sylvalum	6	-	16000	260	Fig: Sicarius Series;Fig: Pilum II Series	Defeat 5 Intra Monoceros; Head to W.Ciel Lake in Sylvalum; Choose "Noble Silk" for A or "Oc-serv" for B; A: Head to South Cinderdunes in Sylvalum and defeat 3 Brutal Prone; Collect 1 Noble Silk; B: Defeat 1 Oc-serv Seivo; then defeat 3 Brutal Prone; Talk to Dirk; Talk to Phina in the Secluded Lava Lake; Defeat 1 Definian Pawn and 2 Brutal Prone; Talk to Phina; Talk to Dirk	Dirk's camp is north of 402. Your choice of objectives doesn't change anything. The two Brutal Prone will drop weapons called "Adelbert" and "Grette"		
Emotion Commotion	Chiopitus	Commercial District	7	-	17000	280	Fig: Hot Dogs = Happy	Talk to Christopher; Defeat 1 Rowdy Potamus; Talk to Christopher; Talk to Chiopitus; Collect Bobby's Watch from Devil's Colony in Oblivia; Deliver it to Pauline; Talk to Chiopitus; Collect 2 Red Thallus Antennae and 2 Elemental Clusters; Talk to Dana and deliver either the Antennae or the Clusters	Devil's Colony is just south of 302; and full of Adsecula on the walls that will aggro and be a pain in the ass. The watch is in the northeast corner of the cave. Easy antennae drops are from Edgardo at North Beach in Oblivia(break left claw to be able to target head); clusters from Si-el at Qing Long Glade in Noctilum(break spine). Giving Dana the antennae leads to heartbreak; the clusters leads to love and magic(only difference is NPC affinity)		
Muder Most Foul	Ackwar	Commercial District	9	-	28000	380	Fig: I <3 Pizza;Fig: Assailer Series	Talk to Powell; then deliver the pizza to Mikkal; Talk to Powell again; Talk to Ackwar; Talk to Gerome; Find Intel in residential area; Listed to the bomb-defusal Intel and talk to Gerome again; and choose "Disarm" on the third choice for the A ending; or talk to him without having heard the intel/choose "Suggest" instead for the B ending; Talk to Ackwar; Head to Weeping Whitewood in Noctilum; Talk to Jim; Head to Cliffside Camp in Oblivia and defeat Grenade Pizza F; A: Talk to Ackwar B: Talk to Jim	To start the mission; you have to walk through the two tall buildings in the northeast corner of the Commercial District. The first bit of Intel is on the road north of the Water Plant. In order to have the options appear when speaking to Gerome for the second time; you must have heard additional Intel from the man in front of the Restricted Hangar Entrance about disarming bombs(it's available before the mission starts; so you may have heard it already). In the A ending; Ackwar survives the ordeal. In B; he dies.		
My Angel, My Lana	Bubu	Commercial District	10	BFFs	25000	370	Fig: Littlepon;Relaxing Angel Wings	Talk to Lana; Defeat 3 Guard Monoceros; Talk to Lana again; Talk to Lana at the caravan(daytime); Collect 6 Golden Puffs; 6 Malevolent Petramand Silk; Deliver them to Lana(daytime); choose "Quip" for A or "Gape" for B; Talk to Bubu	You can kill the Monoceros before talking to Lana if you want. Easy Golden Puffs drops from Mephites(tail) in Sylvalum's Secluded Lava Lake; or Cauldros' Black Gate. Easy Silk drops from Thulium Petramands(sac) on the cliffs south of FN501. Choosing Quip will make Lana return to Bubu; Gape will have her stay with Walolo. The rewards don't change.		
Black Lifehold	Milly	Oblivia	11	5:00~18:59	43000	470	Fig: Lifehold Unit	Explore Cauldros>50%; Inspect the Lifehold at Slavebird Isle in Cauldros; Talk to Milly(daytime); Gather Intel at the Nopon Caravans; Talk to Bobora; Talk to Milly(daytime)	The Intel at Dopang Caravan in Sylvalum is the one you want; the Dodonga and Drongo Intel will just point you towards Dopang. For some reason; the fourth objective calls him 'Wanderer Borabora'; but his name is Bobora everywhere else...		
Unsatisfied Customer	Chiroro	Oblivia	11	BFFs;Seen Felice and Chiroro's exchange at the Nopon Bazaar	36000	420	Fig: Fwooshers Series;Fig: Ratatatta Series	Talk to Felice	Chiroro is in the floating island with FN320 on it		
A Dish Served Cold	Zo Langra	Commercial District	11	A Challenger Approaches	39000	450	Figure: Destined Encounter;Warrior's Eyepatch	Talk to Zo Zazhi; Defeat 1 Siphon Qmoeva and 1 Vanitas Seidr within 10 minutes; Talk to Zo Zazhi; Choose "Soothe" for A or "Accept" for B A: Talk to Zo Langra; Show Zo Zazhi the swords then fight her; Talk to Zo Langra; B: Fight Zo Zazhi; Talk to Zo Langra;	You can either sneak in on foot or fly in from above; neither enemy is particularly difficult. Both routes are essentially the same; A adds a bit of dialogue and an extra step before the fight. A route ends with both siblings eager for vengeance; B route ends with them kind of calm...?		
The Queen is Dead	Ni Zinga	Oblivia	11	5:00~18:59 A Challenger Approaches	41000	460	Fig: Deadsight Series;Fig: Lance Series;Fig: Lightblade II Series	Head to Stickstone Rise in Primordia and battle 1 Naguth Caladar; 1 Girhi Caladar; 1 Zeulbe Caladar; then 3 Mortal Jacul; Talk to Ni Zinga(daytime); Choose "Suggest Flame" then "Warn of Charging" for A; any other combination for B; Defeat 3 Mortal Jacul; Defeat 1 Queen Jacul; Talk to Ni Zinga(daytime)	Ni Zinga is standing around where Ga Jiarg hangs out in the Wroth cave camp place. Answering correctly and achieving the A route ends with the trio surviving. Answering either choice incorrectly for the B route ends with them all dying. You jerk. The Mortal Jacul are directly above an inactive Xe-dom; so consider luring them away with ranged attacks instead of engaging near it.		
Two Warriors	Go Belg	Oblivia	11	19:00~4:59 A Challenger Approaches	39000	450	Fig: Rival Partners;Overlord's Eyepatch	Defeat 2 Welkin Levitath; Talk to Go Belg(night); ~Talk to Gi Ziordo and fight him; ~Talk to Gi Ziorde and fight him; Talk to Go Belg(night); Talk to Gi Ziordo or Gi Ziorde; and fight both together; Talk to Go Belg(night)	You can fight Ziordo and Ziorde in either order for their solo fights; there are slight differences in dialogue depending on your order. Same for your choice preceding the combined fight. They're both 40 for the individual fights; but 48 for the combo; so come prepared.		
Cooking Schooled	Sherry	Admin District	12	Lionhearted	49000	490	Fig: Six Stars Light (Male);Fig: Six Stars Light (Female)	Head to Barista Court; Buy 1 Chrome Sword at the shop; Deliver it to Ni Zain; Gather Intel from the Residential; Administrative; and Industrial/Commercial Districts; Talk to Ni Zain; Collect 10 Lacey Potatoes; 4 Keppo Carrots; 1 Marbled Suid Fillet; Deliver them to Ni Zain	The Residential Intel(curry) is across the street from the Church; Administrative Intel(peking duck) is by the Interceptor garage SE of BLADE Concourse; Commercial Intel is south of the Central Melville Street landmark; and the Industrial Intel(potluck hot pot) is right outside the Outfitters Test Hangar. You only need one out of the Industrial/Commercial Intels.	Regardless of your choice; you end up on curry. Lacey Potatoes are found in SW Primordia; Keppo Carrots are found in SW Primordia and the Sayram Lake area; and Marbled Suid Fillet drop from Suid; there's a bunch west of NLA.	
The Unbreakable Sword	De Zing	Ma-non Ship	12	A Challenger Approaches	50000	500	A: Unbreakable Sword;Fig: Glaive Series	Talk to Neraph; Collect 1 Puge Self-Destruct Mechanism; Deliver it to Neraph; Talk to De Zing; Collect 1 Cimmerian Cinnabar; 1 Zagyrin Cragstone; Deliver them to De Zing; Talk to De Zing; Defeat 1 Brute Millepod; Talk to De Zing; Choose "Accept" for A or "Refuse" for B	Cimmerian Cinnabar comes from various FN nodes in Noctilum; Zagyrian Cragstone can be found in the lava-flooded centerish region Cauldros and Mt M'gando. Interestingly; the Millepod will drop normal Millepod drops.	Choose to Accept the Unbreakable Sword(longsword) will add it to the rewards; if you choose Refuse De Zing will vow to become a master swordsman with it. It's decent for a level 50 weapon; but level 60 stuff still outclasses it. You get the figure regardless of your choice.	
Snipe Hunt	Bihabba	Ma-non Ship	12	-	52000	510	Fig: C&C Heavy (Male);Fig: C&C Heavy (Female)	Head to the Talon Rock Third Terrane in Primordia; Talk to Bihabba; choose "Act Methodically" for A or "Act Unexpectedly" for B; A: Find the Intel in either the Residential; Commercial; or Administrative Districts; Defeat 1 Last Galdr; Talk to Bihabba; B: Defeat 1 Last Galdr; Talk to Bihabba; Pay Heradot 500;000G;	The first objective triggers once you're at the proper altitude; just keep flying higher inside the circle. The Intel for A can either be found in the NE section of the Commercial District by Quentin; near the northern part of the stairs in front of the BLADE Tower; or on a balcony in the SE corner of the Commercial District. A ends with some brief thanks; B ends with you paying Heradot for getting her shot again(and infinite pizza).		
The Divine Nopopon	Shinshin	Residential District	12	BFFs;Mira>80%	49000	520	Up Angel Halo;Up Angel thing;Devil Wing;Devil Horn;Legendary Nopopopopon	Defeat Nopopon's Incarnation at the Whale's Weeper in Noctilum; Defeat Napopon's Incarnation at Blue Hole in Oblivia; Defeat Nipopon's Incarnation at ancientcave in Cauldros; Defeat Nupopon's Incarnation at Quay Cave in Sylvalum; Talk to Nopopon; Talk to Shinshin												
The Probe-fessional	Kirsty	Admin District	2	-	4000	100	Mining Probe G2;Research Probe G2;Storage Probe	Place probes in FN Sites 114; 112 and 116; and upgrade them to Mining Probe G1s; Talk to Kirsty; Place a Research Probe G1 in FN Spot 117; Discover Rock Cavern in Primordia; Talk to Kirsty	Rock Cavern is beneath the large dome NW of 117		
Planetary Pioneer (Part I)	Kirsty	Admin District	3	The Probe-fessional	7000	140	Booster Probe G1;Glasses	Complete Primordia Trailblazing 1; 2 and 3; Talk to Kirsty			
Primordia Trailblazing 1	Kirsty	-	-	Accept Planetary Pioneer (Part I)	-	20	-	Give Kirsty 750g of Miranium			
Primordia Trailblazing 2	Kirsty	-	-	Accept Planetary Pioneer (Part I)	-	20	-	Defeat 5 Junior Simius(daytime)			
Primordia Trailblazing 3	Kirsty	-	-	Accept Planetary Pioneer (Part I)	-	20	-	Acquire Data Unit FN093			
Planetary Pioneer (Part II)	Kirsty	Admin District	5	Planetary Pioneer (Part I)	11000	200	Mining Probe G5;Limited Halfrim Glasses	Complete Noctilum Trailblazing 1; 2 and 3; Talk to Kirsty			
Noctilum Development 1	Kirsty	-	-	Accept Planetary Pioneer (Part II)	-	30	-	Obtain 5 Aurorite			
Noctilum Development 2	Kirsty	-	-	Accept Planetary Pioneer (Part II)	-	30	-	Obtain 8 HI9 Ion Thrusters			
Noctilum Development 3	Kirsty	-	-	Accept Planetary Pioneer (Part II)	-	30	-	Obtain Data Unit FN094			
Planetary Pioneer (Part III)	Kirsty	Commercial District	6	Planetary Pioneer (Part II)	14000	240	Booster Probe G2;Limited Browline Glasses	Complete Oblivia Trailblazing 1; 2 and 3; Talk to Kirsty			
Oblivia Trailblazing 1	Kirsty	-	-	Accept Planetary Pioneer (Part III)	-	40	-	Give Kirsty 2500g of Miranium			
Oblivia Trailblazing 2	Kirsty	-	-	Accept Planetary Pioneer (Part III)	-	40	-	Obtain 7 Moleworms			
Oblivia Trailblazing 3	Kirsty	-	-	Accept Planetary Pioneer (Part III)	-	40	-	Obtain Data Unit FN095			
Planetary Pioneer (Part IV)	Kirsty	Admin District	8	Planetary Pioneer (Part III)	15000	280	Storage Probe;Redesigned Round Glasses	Complete Sylvalum Trailblazing 1; 2 and 3; Talk to Kirsty			
Sylvalum Trailblazing 1	Kirsty	-	-	Accept Planetary Pioneer (Part IV)	-	40	-	Obtain 10 Aurorite; 10 Arc Sand Ore			
Sylvalum Trailblazing 2	Kirsty	-	-	Accept Planetary Pioneer (Part IV)	-	40	-	Defeat 5 Nectar Scirpo			
Sylvalum Trailblazing 3	Kirsty	-	-	Accept Planetary Pioneer (Part IV)	-	40	-	Obtain Data Unit FN096			
Planetary Pioneer (Part V)	Kirsty	Residential District	11	Planetary Pioneer (Part IV)	18000	300	Storage Probe;Redesigned Heart Glasses	Complete Cauldros Trailblazing 1; 2 and 3; Talk to Kirsty	Sub-mission details can be found below		
Cauldros Trailblazing 1	Kirsty	-	-	Accept Planetary Pioneer (Part V)	-	50	-	Give Kirsty 5500g of Miranium			
Cauldros Trailblazing 2	Kirsty	-	-	Accept Planetary Pioneer (Part V)	-	50	-	Defeat 3 Deadland Caro			
Cauldros Trailblazing 3	Kirsty	-	-	Accept Planetary Pioneer (Part V)	-	50	-	Obtain Data Unit FN097												
The Membership	May May	Ma-non Ship	6	Planetary Pioneer (Part III)	-	240	-	Obtain 5 Arc Sand Ore; Deliver them to Maymay			
The Silver Membership	May May	Ma-non Ship	6	The Membership;Mira>40%	-	270	-	Obtain 15 Aurorite; Deliver them to Maymay			
The Gold Membership	May May	Ma-non Ship	9	The Silver Membership;Mira>50%	-	280	-	Obtain 30 Aurorite and 10 Arc Sand Ore; Deliver them to Maymay			
The Platinum Membership	May May	Ma-non Ship	12	The Gold Membership;Mira>60%	-	330	-	Obtain 50 Aurorite; 20 Arc Sand Ore; Deliver them to May May														
The Root of All Evil	Tobias	Admin District	8	Planetary Pioneer (Part IV)	16000	270	Duplicator Probe;Fig: Meredith Heavy (Male)	Receive 70;000 credits in one FrontierNav revenue; Talk to Tobias			
Entrepreneurial Spirit	Tobias	Industrial District	8	The Root of All Evil	23000	340	Duplicator Probe;Fig: Meredith Heavy (Female)	Receive 130;000 credits in one FrontierNav revenue; Talk to Tobias; Talk to Tobias at O'rrha Sim Castle Ruins in Cauldros; Defeat Vainamo; the Bellower; Talk to Tobias	Vainamo is only level 39; but it's crazy strong. You might need to wait until you have lv50 frames.												
Data Probe Challenge	Hugo	Industrial District	8	The Probe-fessional	12000	200	Fuel Recovery Probe	Give 10;000g of Miranium to Hugo			
Data Probe Progress	Hugo	Industrial District	10	Data Probe Challenge	13000	230	Melee Attack Probe	Give 15;000g of Miranium to Hugo			
Data Probe Breakthrough	Hugo	Industrial District	11	Data Probe Progress	14000	260	Ranged Attack Probe	Give 20;000g of Miranium to Hugo			
Data Probe Evolution	Hugo	Industrial District	12	Data Probe Progression	15000	290	EZ Debuff Probe	Give 30000g of Miranium to Hugo	the fuck kinda name		
Data Probe Revolution	Hugo	Industrial District	12	Data Probe Evolution	16000	320	Attribute Resistance Probe;Fig: Meredith Medium (Male)	Give 40000g of Miranium to Hugo													
Mayday	May	Oblivia	2	-	4000	100	Dobobora Broccoli	Collect 4 Viscous Humour; 2 Silvery Cactaceous Resin; Deliver them to May	May is south of FN309. Viscous Humour drops most easily from Papil; which can be found southeast of Janpath Lake. The Resin can be found around Butte; near May.		
Mayhem	May	Oblivia	2	Mayday	5000	110	Fig: Sakuraba Basic (Female)	Choose "Redwood Aprica Antlers" for A; "Magical Finding Rods"/"80 Angel Stones" for B; A: Collect 2 Ebony Evello Eggs; 2 Redwood Aprica Antlers; Deliver them to May; Collect 2 Magical Finding Rods; Deliver them to May; B: Collect 2 Ebony Evello Eggs; 2 Magical Finding Rods; Deliver them to May; Collect 2 Redwood Aprica Antlers; Deliver them to May	The choice is irrelevant; you have to gather the same three items regardless of which you pick. Wise Aprica spawn around 302; but have devastating ether attacks. Destroying the horns prevents them and increases drop rates.	At the last last question; if you choose "Affirm" or "Deny" and then "Change"; she'll create an affinity link with Thomas next time you talk with her (Division Drive at daytime). If you choose "Deny" and then "Confirm"; she'll be only at night and no affinity links.											
Welcome Back Conner	Nathan	Primordia	2	-	5000	110	Bargain Tank Top (Blue Camo)	Talk to Conner; Gather Conner's Comm Device; Talk to Conner	Conner's Comm device is in front of two lv35ish Grex; but you can sneak around them and collect it before entering their aggro range		
Cinicula Assault	Conner	Primordia	2	Welcome Back Conner	6000	120	Tank Top (Yellow Camo)	Defeat 1 Bold Cinnicula														
A Hero's Ride	Justin	Commercial District	2	-	5000	110	Fig: Sakuraba Basic (Male)	Collect 2 Anhydrous Radiators	Anhydrous Radiators are found in NW Primordia		
Rise of the Blood Lobster	Blood Lobster	Industrial District	3	A Hero's Ride	54000	530	Fig: The Blood Lobster;Upgraded Diving Bodywear II;Upgraded Diving Band R II;Upgraded Diving Band L II	Collect 99 Stuffed Lobsters; Talk to Justin; Head to Ganglioncave in Cauldros and fight Blood Lobster	Lobster locations here. Note that you won't be able to finish it until at least chapter 11[?]											
Installation	Pathfinders	Primordia	-	A New Rival	2500	10	-	Install a probe at FN Site 114			
Research	NLA Government	Primordia	-	A New Rival	2500	10	-	Earn 3000 credits from FrontierNav in one salary	Credits proc every 15 minutes; do Probe-fessional		
Miranium	NLA Government	Primordia	-	A New Rival	2500	10	-	Give Tauler 900g of Miranium													
Mission A	Yelv	Commercial District	-	Meeting Yelv	-	-	-	Gather 3 Rizattice			
Mission B	Yelv	Commercial District	-	Meeting Yelv	-	-	-	Defeat 2 Young Cinicula			
Mission C	Yelv	Commercial District	-	Meeting Yelv	-	-	-	Defeat 5 Metal Blatta														
City Saviors	Carl	Admin District	3	Primordia>15%	7000	130	Forerunner's Uniform	Head to the West Gate Plain cave in Primordia; A: Defeat 5 Little Suid; Talk to Carl; B: Spare them and talk to Carl;	Sparing them will result in Carl's eventual death		
A Painful Lesson	Carl	Primordia	7	City Saviors - B Route	13000	230	-	Head to Big-Suid Nest in Primordia; Defeat 5 Big Suid; Talk to Trevor	Carl is sitting west of the west gate in Primordia											
Mamma Mia!	Mia	Admin District	3	-	8000	150	School Blazer	Buy Iron Blades and Combat Bodywear from the shop; Deliver them to Mia			
Adventure!	Mia	Noctilum	5	Mamma Mia!	-	210	-	Talk to Mia; Collect Mia's Comm Device; Deliver it to Mia; Head to Canopied Nightwood and defeat 1 Wood Tectinsula; Talk to Mia	Mia is at the top of the Skybound Coil Tree; NE of FN216. Her Comm Device is near a high level Turba Tyrant; but it won't aggro.		
Mighty Mia	Mia	Oblivia (Leaning Ring)	6	Adventure!	-	250	-	Talk to Mia; Talk to Mia and fight 1 Falconine Jacul; Talk to Mia	Approach the Leaning Ring to activate the mission. The second objective is surrounded by high level Auravis; but they don't aggro at night.		
It's-a Mia!	Mia	Sylvalum	9	Mighty Mia;A Girl's Wings	-	310	-	Gather 2 New Cylinders and 5 Missile Wiring; Deliver them to Mia; Inspect Mia's Skell at the Needle Rock Sandsea; Talk to Mia; Defeat 2 Buoyant Pugilith; Talk to Mia	Mia can be found at the Nopon caravan near the Cleansing Spring in Sylvalum. New Cylinders drop from the blue Pugiliths(break the Puge head part); easy drops are from Fighters at the Lotus Keep Building Site NW of 210. Missile Wiring is found in the elevated areas of northwestern Sylvalum.		
Mia Is Missing!	Mia	Cauldros	11	It's-a Mia!;Definian Downfall;Survey 65% of Cauldros	-	460	FILE-USP0880SA;Mia joins	Head to Ganglion Antropolis in Cauldros and fight HH100:Hierana; Talk to Mia; Talk to Walter	Mia for life <3 To start this quest; head towards the large room where you fought the Rexoskell in Definian Downfall; but go down the path leading west right before it. Past the room with the Shrads; there's a small side-section closed off by a barrier with several Companion Potamus and a Definian Clone. Approach the small structure within.													
Castle in the Sky	Kuta	Sylvalum	4	nighttime	11000	190	Fig: Ensnared	Talk to Wanana(Night); Talk to Nana(Night); Talk to Bobora[optional]; Defeat 1 Jacul Ire(N of FN405); Talk to Kuta(Night);	Bobora is at Xanadu Lookout(cliff above 413); guarded by a lv 60 Zig. If you speak to him; he'll pinpoint the location of the Jacul for you.		
Hair Apparent	Nio	Sylvalum	8	Castle in the Sky;Obtain the Sapphire Ring from defeating the Stray Potamus in southern Lake Ciel	20000	290	Fig: Barrel Dodger;Fig: Pokepoke Series;Soothing Bunny Ears	Pay Nio 20;000 credits(daytime); Talk to Jalolo(daytime); Talk to Nio(daytime); Gather 6 Diresheep and 4 Antorous Roses; Deliver them to Nio(daytime); Talk to Jalolo(daytime); Give the Sapphire Ring to Popo	The Sapphire Ring is obtained from killing the Stray Potamus in the southern section of the path that splits Lake Ciel in half.  Diresheep are found in caves and the Delusian Mtn in Sylvalum; Antorus Roses in Lake Ciel and 403.													
Dodonga Caravan	Vandham	Noctilum	-	BFFs	-	-	Dodonga Treaty	Head to Dodonga Caravan in Noctilum; Search for Koko near Cascade Isle; Defeat 1 Agile Caecus; Talk to Koko			
Dorian Caravan	Vandham	Oblivia	-	BFFs	-	-	Dorian Treaty	Head to Dorian Caravan in Oblivia; Talk to Mujiji and pay 30000 credits	To reach the caravan; head past the giant ring; and through Ibra Ravine up to Lake Basel in the north													
The Pip-Squeak	Matthew	Industrial District (Outfitters Test Hangar)	5	-	10000	190	Fig: Ma-non Capsule Pod;Limited Tank Top (Pink Camo)	Collect 1 Noka Mirrorstone; Deliver it to Aganeba; Talk to Matthew; Talk to Aganeba; choose "Barter"->"Food"; Buy a Hamburger from Pauline(700G) during the day; a Hotdog from Jo/Coco(600G); and a Pizza from Powell/Shallot(10000G); Give Aganeba the pizza and choose ""	Noka Mirrorstones are found in caves in Noctilum. All other choices lead to extra dialogue; but will not advance the quest until you choose correctly.		
That's In-Credible!	Tutura	Admin District (BLADE Tower)	5	-	13000	210	Fig: Trigger Happy;Fig: Dyads Series	Talk to Tutura; Defeat 7 Quick Evellos using Diagonal Twins; Return the weapon to Tutura; choose "One Strong" for A; "Multiple" for B; A: Defeat 2 Welkin Auravis using Hyde Dyads; B: Defeat 10 Iron Femina Suid using Hyde Dyads; Return the weapon to Tutura	You can equip the weapon on your allies and defeat the enemies for it to count. Don't forget to unequip the weapon before handing it back to Tutura. Your choice in advertisement only affects dialogue		
No Ma-non Need Apply!	Wersal	Commercial District (Central Melville Street)	5	The Pip-Squeak;That's In-Credible!	11000	200	Fig: C&C Light (Male);Fig: C&C Light (Female)	Talk to Percilla; Talk to Alesa; Gather Intel in the Administrative; Residential and Industrial Districts; Talk to Alesa	The Residential intel is west of the tennis courts; by the giant red crane. The Industrial intel is behind the building behind the diner. The Admin intel is directly in front of the mimeosome maintenance center											
