Name	Genus	Type	Continent	Location	Lv	Exp	HP	M.Pow	M.Acc	R.Pow	R.Acc	Pot.	Eva	Res		Drops~								Wep	Armor	SkellWep	SkellArmr	Tyrant
				n=night, hi/lo=high/low, air=flying around, wait=doesn't appear immediately										Phys/Beam/Eth/Heat/Elec/Grav										Gear Drops (click link for more details)			
Iron Simius	Simius	Theroid	Primordia	[5:00~19:00]: 110(lo) on a cliff above Sayram Lake BC	31~40	282~400	53796~75308	603~824	173~199	537~734	168~195	525~717	88~115	0/0/-25/-50/0/0		Simius Snack Stash	Supple Tail	Red Simius Mane	Muscled Simius Bulge	Hard Backbone	Stiff Hair	---		〇	ME - H	---	---
Blitz Simius	Simius	Theroid	Primordia	[5:00~19:00]: 116 on the rocks directly NE where Hayreddin sleeps	41~50	417~576	84115~101779	852~1104	202~234	759~983	197~229	741~960	118~150	0/0/-25/-50/0/0		Simius Snack Stash	Supple Tail	Red Simius Mane	Muscled Simius Bulge	Hard Backbone	Stiff Hair	---		〇	ME - H	---	---
Hayreddin, the Territorial	Simius	Theroid	Primordia	116E(sleeps on the rocks directly NE of 116 at night)	81	1910	365821	2165	359	1929	353	1883	289	5/5/-20/-45/5/5		Simius Snack Stash	Supple Tail	Red Simius Mane	Muscled Simius Bulge	Hard Backbone	Stiff Hair	---		〇	ME - H	---	---	Y
Juvenile Simius	Simius	Theroid	Primordia	107(hi),106N,110,115S,116,TallpachPeak	1~40	21~286	1714~60246	38~603	102~199	34~538	97~195	33~525	15~115	0/0/-25/-50/0/0		Simius Snack Stash	Supple Tail	Red Simius Mane	Muscled Simius Bulge	Hard Backbone	Stiff Hair	---		〇	ME - H	---	---
Furious Simius	Simius	Theroid	Primordia	isle N of Primordia	31~40	282~400	53796~75308	603~824	173~199	537~734	168~195	525~717	88~115	0/0/-25/-50/0/0		Simius Snack Stash	Supple Tail	Green Simius Mane	Muscled Simius Bulge	Hard Backbone	Stiff Hair	---		〇	ME - H	---	---
Daylight Aprica	Aprica	Theroid	Primordia	[5:00~19:00]: 104NW,106N	41~50	852~1176	371571~449604	1136~1472	197~228	1136~1472	223~258	988~1280	82~105	0/0/-25/-50/0/0		Fine Aprica Wood	Aprica Back Moss	Evergreen Aprica Antlers	Slender Horn	Rough Skin	---	---		---	GG - M	---	---
Odsent	Suid	Theroid	Primordia	Training Day	30~33	147~166	41282~46675	406~457	170~179	332~374	161~170	369~415	82~91	0/0/-25/-50/0/0		---	---	---	---	---	---	---					
Brass Suid	Suid	Theroid	Primordia	102,107,112,BiahnoLake.S,WestGatePlain	1~10	15~42	1509~8606	34~118	102~119	30~106	95~112	34~118	14~32	0/0/-25/-50/0/0		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Muscled Suid Bulge	Succulent Meat	Fleecy Fur	---		〇	GG - Sk	---	---
Iron Suid	Suid	Theroid	Primordia	103,106,114,121,ArendtBridge,BiahnoLake.E,JanpathLake.S,StickstoneRise	11~20	45~78	9465~20143	128~225	121~139	115~202	114~131	128~225	34~51	0/0/-25/-50/0/0		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Muscled Suid Bulge	Succulent Meat	Fleecy Fur	---		〇	GG - Sk	---	---
Steel Suid	Suid	Theroid	Primordia	108SW(lo),115SE	21~30	84~138	21326~36328	250~369	141~170	225~332	133~161	250~369	53~82	0/0/-25/-50/0/0		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Muscled Suid Bulge	Succulent Meat	Fleecy Fur	---		〇	GG - Sk	---	---
Adamant Suid	Suid	Theroid	Primordia	[5:00~19:00]: 119W,120	31~40	144~204	37885~53034	385~525	173~199	346~473	164~190	385~525	85~112	0/0/-25/-50/0/0		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Muscled Suid Bulge	Succulent Meat	Fleecy Fur	---		〇	GG - Sk	---	---
Silver Suid	Suid	Theroid	Primordia	108	41~50	213~294	59236~71676	543~704	202~234	489~633	192~233	543~704	115~146	0/0/-25/-50/0/0		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Muscled Suid Bulge	Succulent Meat	Fleecy Fur	---		〇	GG - Sk	---	---
Gugli, the Relentless	Suid	Theroid	Primordia	Janpath Lake north coast	20	163	56652	321	146	288	137	321	54	5/5/-20/-45/5/5		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Muscled Suid Bulge	Succulent Meat	Fleecy Fur	---		〇	GG - Sk	---	---	Y
Megatonne, the Hell Express	Suid	Theroid	Primordia	106E	11	94	28396	227	170	164	119	184	34	5/5/-20/-45/5/5		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Muscled Suid Bulge	Succulent Meat	Fleecy Fur	---		〇	GG - L, Sk	---	---	Y
Little Suid	Suid	Theroid	Primordia	wgate,103,107,stickrocks,108,110, 112,114,115S,JanpathS,120,121,Arlent	1~50	15~294	1509~71676	34~704	102~234	30~633	95~223	34~704	14~146	0/0/-25/-50/0/0		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Muscled Suid Bulge	Succulent Meat	Fleecy Fur	---		〇	GG - Sk	---	---
Domestic Armored Suid	Suid	Theroid	Primordia	119	1~10	16~45	1715~9780	37~130	102~117	30~106	95~112	34~118	14~32	0/0/-25/-50/0/0		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Tough Humpsteak	Succulent Meat	Fleecy Fur	---		〇	GG - Sk	---	---
Hard Armored Suid	Suid	Theroid	Primordia	119	41~50	227~314	67313~81450	597~774	202~234	489~633	192~223	543~704	115~146	0/0/-25/-50/0/0		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Tough Humpsteak	Succulent Meat	Fleecy Fur	---		〇	GG - Sk	---	---
Bogdan, the Dense	Suid	Theroid	Primordia	119	49	638	224615	1075	241	880	230	978	149	5/5/-20/-45/5/5		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Tough Humpsteak	Succulent Meat	Fleecy Fur	---		〇	GG - Sk	---	---	Y
Brass Femina Suid	Suid	Theroid	Primordia	102,BiahnoS,107,wgate,112	1~10	15~42	1481~8449	33~115	99~116	31~109	97~115	34~118	15~33	0/0/-25/-50/0/0		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Muscled Suid Bulge	Succulent Meat	Fleecy Fur	---		〇	GG - H	---	---
Iron Femina Suid	Suid	Theroid	Primordia	103,106,114,121,ArendtBridge,BiahnoLake.E,JanpathLake.S,StickstoneRise	11~20	45~78	9293~19776	125~219	118~135	118~208	117~134	128~225	35~54	0/0/-25/-50/0/0		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Muscled Suid Bulge	Succulent Meat	Fleecy Fur	---		〇	GG - H	---	---
Steel Femina Suid	Suid	Theroid	Primordia	108SW(lo),115S,UnicornRock	21~30	84~138	20939~35668	244~360	137~166	231~341	136~165	250~369	56~87	0/0/-25/-50/0/0		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Muscled Suid Bulge	Succulent Meat	Fleecy Fur	---		〇	GG - H	---	---
Bronze Femina Suid	Suid	Theroid	Primordia	[5:00~19:00]: 119W,120,SayramLake	31~40	144~204	37196~52070	375~512	169~194	355~486	168~195	385~525	90~117	0/0/-25/-50/0/0		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Muscled Suid Bulge	Succulent Meat	Fleecy Fur	---		〇	GG - H	---	---
Silver Femina Suid	Suid	Theroid	Primordia	108	41~50	213~294	58159~70372	529~686	197~228	502~650	197~229	543~704	120~153	0/0/-25/-50/0/0		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Muscled Suid Bulge	Succulent Meat	Fleecy Fur	---		〇	GG - H	---	---
Little Femina Suid	Suid	Theroid	Primordia	108,ArendtBridge,WestGatePlain	1~50	15~294	1481~70372	33~686	99~228	31~650	97~229	34~704	15~153	0/0/-25/-50/0/0		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Muscled Suid Bulge	Succulent Meat	Fleecy Fur	---		〇	GG - H	---	---
Grassland Ovis	Ovis	Theroid	Primordia	[5:00~19:00]: 112, 114, 116	1~10	9~25	1224~6982	34~118	102~119	30~106	97~115	34~118	15~33	0/0/-25/-50/0/0		Tricolored Ovis Meat	Lovely Pom Pom	Ovis Polishing Stone	Juicy Wild Meat	Fleecy Fur	---	---		〇	ME - L	---	---
Docile Ovis	Ovis	Theroid	Primordia	[5:00~19:00]: 114,JanpathN/SE	11~20	27~47	7679~16342	128~225	121~137	115~202	117~134	128~225	35~53	0/0/-25/-50/0/0		Tricolored Ovis Meat	Lovely Pom Pom	Ovis Polishing Stone	Juicy Wild Meat	Fleecy Fur	---	---		〇	ME - L	---	---
Rogue Ovis	Ovis	Theroid	Primordia	[5:00~19:00]: 115S,120N	21~30	50~83	17303~29475	250~369	141~170	225~332	136~165	250~369	55~85	0/0/-25/-50/0/0		Tricolored Ovis Meat	Lovely Pom Pom	Ovis Polishing Stone	Juicy Wild Meat	Fleecy Fur	---	---		〇	ME - L	---	---
Baabara, the Evangelical	Ovis	Theroid	Primordia	[5:00~19:00]: JanpathSE	12	72	9875	139	123	125	118	139	37	0/0/-25/-50/0/0		Tricolored Ovis Meat	Lovely Pom Pom	Ovis Polishing Stone	Juicy Wild Meat	Fleecy Fur	---	---		〇	GG - L, ME - L	---	---	Y
Eternal Millesaur	Millesaur	Theroid	Primordia	wplains,Sairam	41~50	1596~2203	942392~1140300	2223~2880	202~234	2074~2688	192~223	1482~1920	29~37	0/0/-25/-50/0/0		Millesaur Larynx	Millesaur Dung	Thick Millesaur Hide	Obsidian Cluster	Tough Tendon	Obsidian Fragment	Rugged Skin		---	OR - L	2	---
Everlasting Millesaur	Millesaur	Theroid	Primordia	Biahno,Sairam,Janpath	51~60	2270~2922	1162262~1360117	2961~3690	237~273	2763~3444	227~261	1974~2460	38~47	0/0/-25/-50/0/0		Millesaur Larynx	Millesaur Dung	Thick Millesaur Hide	Obsidian Cluster	Tough Tendon	Obsidian Fragment	Rugged Skin		---	OR - L	2	---
Luciel, the Eternal	Millesaur	Theroid	Primordia	Janpath	92	9172	4643257	6586	370	6147	355	4391	75	5/5/-20/-45/5/5		Millesaur Larynx	Millesaur Dung	Thick Millesaur Hide	Obsidian Cluster	Tough Tendon	Obsidian Fragment	Rugged Skin		---	OR - L	2	---	Y
Quick Evello	Evello	Theroid	Primordia	[5:00~19:00]: 106SE,110SW,114,JanpathS	11~20	51~88	9465~20143	128~225	125~143	122~214	117~134	135~236	35~53	0/0/-25/-50/0/0		Meaty Evello Egg	Robust Evello Horn	Bone-In Thigh Meat	Chipped Talon	Worn Muscle Fiber	---	---		---	SA - B	---	---
Fast Evello	Evello	Theroid	Primordia	115,121W	21~30	95~156	21326~36328	250~369	145~175	238~351	136~165	263~388	55~85	0/0/-25/-50/0/0		Meaty Evello Egg	Robust Evello Horn	Bone-In Thigh Meat	Chipped Talon	Worn Muscle Fiber	---	---		---	SA - B	---	---
Swift Evello	Evello	Theroid	Primordia	[5:00~19:00]: 110	31~40	163~231	37885~53034	385~525	178~205	365~499	168~195	404~552	88~115	0/0/-25/-50/0/0		Meaty Evello Egg	Robust Evello Horn	Bone-In Thigh Meat	Chipped Talon	Worn Muscle Fiber	---	---		---	SA - B	---	---
Roderick, the Fleet-Footed	Evello	Theroid	Primordia	117S	11	107	26621	184	131	174	122	192	36	5/5/-20/-45/5/5		Meaty Evello Egg	Robust Evello Horn	Bone-In Thigh Meat	Chipped Talon	Worn Muscle Fiber	---	---		---	SA - B	---	---	Y
Durvin, the Perceptive	Sphinx	Theroid	Primordia	[5:00~19:00]: Beasts'Lair	72	3822	812565	1427	452	1362	370	1167	264	20/20/0/10/20/10		Imperial Sphinx Fang	Blazing Gas Sac	Pristine Bristle	---	---	---	---		〇	---	---	---	Y
Wood Lepyx	Lepyx	Theroid	Primordia	107, West Gate, 116	1~10	29~82	2314~13199	53~186	115~135	48~170	110~129	46~162	12~26	0/0/-25/-50/0/0		Lepyx Sunstone	Lepyx Jaw Meat	Lepyx Elastic Cell	Dull Stone	Supple Leather	---	---		---	SA - M	---	---
Prairie Lepyx	Lepyx	Theroid	Primordia	114,117,118,121,119	11~20	88~153	14516~30892	201~353	137~157	184~322	132~151	175~307	28~42	0/0/-25/-50/0/0		Lepyx Sunstone	Lepyx Jaw Meat	Lepyx Elastic Cell	Dull Stone	Supple Leather	---	---		---	SA - M	---	---
Sirene, the Lost	Lepyx	Theroid	Primordia	114E	13	150	38800	246	148	224	143	214	32	5/5/-20/-45/5/5		Lepyx Sunstone	Lepyx Jaw Meat	Lepyx Elastic Cell	Dull Stone	Supple Leather	---	---		---	SA - M	---	---	Y
Highland Lepyx	Lepyx	Theroid	Primordia	119NW	41~50	417~576	90846~109924	852~1104	228~264	778~1008	223~258	741~960	94~120	0/0/-25/-50/0/-25		Lepyx Sunstone	Lepyx Jaw Meat	Lepyx Elastic Cell	Dull Stone	Supple Leather	---	---		---	SA - M	---	---
Welkin Auravis	Auravis	Theroid	Primordia	wplains,107,bluecliff,108,116(air), 120(air),Arlent	21~30	141~232	25437~43330	350~516	148~179	333~491	140~170	342~504	57~89	0/0/-25/-50/0/-25		Unfertilized Auravis Egg	Auravis Laughing Bag	Auravis Horn	Auravis Courtship Feather	Cracked Bill	Filthy Wing	---		〇	OR - M	---	---
Reaver Auravis	Auravis	Theroid	Primordia	107N,111(n),112N,119W(n)	31~40	242~343	45186~63255	537~734	182~210	511~698	173~200	525~717	92~120	0/0/-25/-50/0/-25		Unfertilized Auravis Egg	Auravis Laughing Bag	Auravis Horn	Auravis Courtship Feather	Cracked Bill	Filthy Wing	---		〇	OR - M	---	---
Sky Auravis	Auravis	Theroid	Primordia	104NW,unicorn cliff	41~50	358~494	70652~85489	759~983	213~246	722~935	203~235	741~960	123~157	0/0/-25/-50/0/-25		Unfertilized Auravis Egg	Auravis Laughing Bag	Auravis Horn	Auravis Courtship Feather	Cracked Bill	Filthy Wing	---		〇	OR - M	---	---
Bohdan, the Mistral	Auravis	Theroid	Primordia	[5:00~19:00]: unicorn cliff	37	972	615129	933	210	887	200	910	116	5/5/-20/-45/5/-20		Unfertilized Auravis Egg	Auravis Laughing Bag	Auravis Horn	Auravis Courtship Feather	Cracked Bill	Filthy Wing	---		〇	OR - M	---	---	Y
Nocturnal Vesper	Vesper	Theroid	Primordia	107(n),102N(n),116(n),Drop Shaft	1~10	11~32	1282~7315	37~130	110~129	34~118	100~118	34~118	16~36	0/0/-25/-50/0/-25		Vesper Fry	Vesper Hair Clip	Vesper Fang	Black Fog Deposits	Taut Leather	---	---		〇	SA - H	---	---
Blind Vesper	Vesper	Theroid	Primordia	[19:00~5:00]: BiahnoE	21~30	34~59	8045~17121	141~248	131~150	128~225	120~138	128~225	35~58	0/0/-25/-50/0/-25		Vesper Fry	Vesper Hair Clip	Vesper Fang	Black Fog Deposits	Taut Leather	---	---		〇	SA - H	---	---
Dark Vesper	Vesper	Theroid	Primordia	Arlentcave	21~30	64~105	18127~30848	275~406	152~183	250~369	140~170	250~369	60~93	0/0/-25/-50/0/-25		Vesper Fry	Vesper Hair Clip	Vesper Fang	Black Fog Deposits	Taut Leather	---	---		〇	SA - H	---	---
Mortal Vesper	Vesper	Theroid	Primordia	102N(n)	31~40	109~155	32202~45079	423~578	186~215	385~525	173~200	385~525	96~126	0/0/-25/-50/0/-25		Vesper Fry	Vesper Hair Clip	Vesper Fang	Black Fog Deposits	Taut Leather	---	---		〇	SA - H	---	---
Necro, the Cavelord	Vesper	Theroid	Primordia	Drop Shaft	69	564	187292	1244	318	1131	298	1131	229	5/5/-20/-45/5/-20		Vesper Fry	Vesper Hair Clip	Vesper Fang	Black Fog Deposits	Taut Leather	---	---		〇	SA - H	---	---	Y
Blood Vesper	Vesper	Theroid	Primordia	[19:00~5:00]: bluecliff	11~20	57~99	9465~20143	141~248	131~150	128~225	120~138	128~225	38~58	0/0/-25/-50/0/-25		Vesper Fry	Vesper Hair Clip	Vesper Fang	Black Fog Deposits	Taut Leather	---	---		〇	SA - H	---	---
Carmine Vesper	Vesper	Theroid	Primordia	Drop Shaft	51~60	384~494	73056~85493	796~992	256~294	723~902	239~275	723~902	169~209	0/0/-25/-50/0/-25		Vesper Fry	Vesper Hair Clip	Vesper Fang	Black Fog Deposits	Taut Leather	---	---		〇	SA - H	---	---
Lake Terebra	Terebra	Theroid	Primordia	BiahnoS,wgate	1~10	19~53	1577~8997	35~124	105~123	30~106	100~118	34~118	16~35	0/0/-25/-50/0/0		Terebra Paw Stamp	Terebra Water Grease	Sharp Ear	Perforated Oar	Taut Leather	---	---		〇	---	---	---
Pit Terebra	Terebra	Theroid	Primordia	BiahnoLake.E,JanpathE	11~20	57~99	9895~21058	135~236	125~143	115~202	120~138	128~225	37~56	0/0/-25/-50/0/0		Terebra Paw Stamp	Terebra Water Grease	Sharp Ear	Perforated Oar	Taut Leather	---	---		〇	---	---	---
Whirling Terebra	Terebra	Theroid	Primordia	112, Janpath	21~30	106~175	22296~37979	263~388	145~175	225~332	140~170	250~369	59~91	0/0/-25/-50/0/0		Terebra Paw Stamp	Terebra Water Grease	Sharp Ear	Perforated Oar	Taut Leather	---	---		〇	---	---	---
Fall Terebra	Terebra	Theroid	Primordia	111	51~60	384~494	76377~89379	759~947	244~280	651~811	239~275	723~902	165~204	0/0/-25/-50/0/0		Terebra Paw Stamp	Terebra Oil Grease	Sharp Ear	Perforated Oar	Taut Leather	---	---		〇	---	---	---
Archibolt, the Revolutionary	Terebra	Theroid	Primordia	Lake Biahno (Rain)	11	85	22261	141	131	121	126	135	39	5/5/-20/-45/5/5		Terebra Paw Stamp	Terebra Oil Grease	Sharp Ear	Perforated Oar	Taut Leather	---	---		〇	---	---	---	Y
Droll Saltat	Saltat	Theroid	Primordia	105,Janpath,unicorn cliff	21~30	112~184	23265~39631	244~360	145~175	244~360	140~170	250~369	55~85	0/0/-25/-50/0/0		Saltat Horn	Golden Jewel	Glossy Saltat Fan	Vibrant Plume	Filthy Wing	---	---		〇	SS - L	---	---
Sapara, the Laconic	Saltat	Theroid	Primordia	unicorn cliff	22	252	69140	368	154	368	149	377	59	5/5/-20/-45/5/5		Saltat Horn	Golden Jewel	Glossy Saltat Fan	Vibrant Plume	Filthy Wing	---	---		〇	SA - L, SS - L	---	---	Y
Viridian Saltat	Saltat	Theroid	Primordia	Biahno River,stickrocks,108W,120N	21~30	114~188	24235~41282	250~369	148~179	250~369	143~174	250~369	56~87	0/0/-25/-50/0/0		Saltat Horn	Demonic Jewel	Glossy Saltat Fan	Vibrant Plume	Filthy Wing	---	---		〇	SS - L	---	---
Saffron Saltat	Saltat	Theroid	Primordia	MoltenHollow	31~40	196~277	43051~60266	385~525	182~210	385~525	177~205	385~525	90~117	0/0/-25/-50/0/0		Saltat Horn	Demonic Jewel	Glossy Saltat Fan	Vibrant Plume	Filthy Wing	---	---		〇	SS - L	---	---
Citrine Saltat	Saltat	Theroid	Primordia	MoltenHollow	31~40	200~283	46495~65087	404~552	186~215	404~552	181~210	385~525	92~120	0/0/-25/-50/0/0		Saltat Horn	Sky Jewel	Glossy Saltat Fan	Vibrant Plume	Filthy Wing	---	---		〇	SS - L	---	---
Garnet Saltat	Saltat	Theroid	Primordia	106	51~60	420~541	89660~104923	759~947	256~294	759~947	250~288	723~902	161~199	0/0/-25/-50/0/0		Saltat Horn	Sky Jewel	Glossy Saltat Fan	Vibrant Plume	Filthy Wing	---	---		〇	SS - L	---	---
Zdenka, the Raucous	Saltat	Theroid	Primordia	106	60	1134	295047	1353	308	1353	303	1290	209	5/5/-20/-45/5/5		Saltat Horn	Sky Jewel	Glossy Saltat Fan	Vibrant Plume	Filthy Wing	---	---		〇	SS - L	---	---	Y
Ruby Saltat	Saltat	Theroid	Primordia	106	51~60	428~551	99622~116581	796~992	268~308	796~992	262~302	723~902	169~209	0/0/-25/-50/0/0		Saltat Horn	Galaxial Jewel	Glossy Saltat Fan	Vibrant Plume	Filthy Wing	---	---		〇	SS - L	---	---
Stone Potamus	Potamus	Theroid	Primordia	102	1~10	20~56	1715~9780	34~121	105~123	34~121	100~118	34~118	13~29	0/0/-25/-50/0/0		Potamus Life Lung	Murky Potamus Water	Hulking Incisor	Succulent Meat	Muddy Pelt	---	---		---	SA - B	---	---
Rock Potamus	Potamus	Theroid	Primordia	102N,106SE,Biahno River,110SW,JanpathW	11~20	60~104	10756~22890	131~231	125~143	131~231	120~138	128~225	31~74	0/0/-25/-50/0/0		Potamus Life Lung	Murky Potamus Water	Hulking Incisor	Succulent Meat	Muddy Pelt	---	---		---	SA - B	---	---
Mesgen, the Fairweathered	Potamus	Theroid	Primordia	Sairam	28	353	106381	502	170	502	164	490	68	5/5/-20/-45/5/5		Potamus Life Lung	Murky Potamus Water	Hulking Incisor	Succulent Meat	Muddy Pelt	---	---		---	SA - B	---	---	Y
Huge Potamus	Potamus	Theroid	Primordia	104S,Sairam,JanpathN	21~30	112~184	24235~41282	256~378	145~175	256~378	140~170	250~369	49~76	0/0/-25/-50/0/0		Potamus Life Lung	Murky Potamus Water	Hulking Incisor	Succulent Meat	Muddy Pelt	---	---		---	SA - B	---	---
Neodymium Petramand	Petramand	Insectoid	Primordia	Stonelattice Cavern	31~40	255~362	37644~52696	551~752	186~215	498~681	173~200	525~717	83~109	35/0/-25/-25/0/0		Rainbow Metal	Golden Petramand Silk	Gray Shell	Ornate Petramand Claw	Iron Lump	Cracked Claw	---		---	SA - Sk	17	---
Caesar, the Hundred-Eyed	Petramand	Insectoid	Primordia	Stonelattice Cavern	68	1290	215831	1590	317	1439	297	1515	197	40/5/-20/-20/5/5		Rainbow Metal	Golden Petramand Silk	Gray Shell	Ornate Petramand Claw	Iron Lump	Cracked Claw	---		---	SA - Sk	17	---	Y
Europium Petramand	Petramand	Insectoid	Primordia	TurtleNest	31~40	255~362	37644~52696	551~752	186~215	498~981	173~200	525~717	83~109	35/0/-25/-25/0/0		Rainbow Metal	Black Petramand Silk	Gray Shell	Ornate Petramand Claw	Iron Lump	Cracked Claw	---		---	SA - Sk	17	---
Promethium Petramand	Petramand	Insectoid	Primordia	101cave	51~60	537~692	72591~84949	1036~1291	256~294	937~1168	239~275	987~1230	146~180	35/-25/-25/0/0/0		Rainbow Metal	Black Petramand Silk	Gray Shell	Ornate Petramand Claw	Iron Lump	Cracked Claw	---		---	SA - Sk	17	---
Grassland Scirpo	Scirpo	Insectoid	Primordia	114	1~10	19~53	1199~6840	32~115	105~123	32~115	100~118	33~118	15~33	35/-25/-25/0/0/0		Scirpo Silk	Scirpo Malic Acid Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---
Tree Scirpo	Scirpo	Insectoid	Primordia	114,115,119,121	11~20	80~138	9405~20015	171~299	125~143	171~299	120~138	175~307	35~53	35/0/-25/-25/0/0		Scirpo Silk	Scirpo Malic Acid Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---
Green Scirpo	Scirpo	Insectoid	Primordia	112N,120S/NW	21~30	149~245	21191~36097	333~491	145~175	333~491	140~170	342~504	55~85	35/0/-25/-25/0/0		Scirpo Silk	Scirpo Malic Acid Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---
Wood Scirpo	Scirpo	Insectoid	Primordia	110,bigroofcave(topright),199W,120	31~40	255~362	37644~52696	511~698	178~205	511~698	173~200	525~717	88~115	35/0/-25/-25/0/0		Scirpo Silk	Scirpo Malic Acid Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---
Native Scirpo	Scirpo	Insectoid	Primordia	110SW,111	41~50	378~521	58859~71219	722~935	208~240	722~935	203~235	741~960	118~150	35/0/-25/-25/0/0		Scirpo Silk	Scirpo Malic Acid Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---
Yelena, the Sequestered	Scirpo	Insectoid	Primordia	120NW	34	430	106064	604	197	601	191	617	101	40/5/-20/-20/5/5		Scirpo Silk	Scirpo Malic Acid Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---	Y
Rapid Scirpo	Scirpo	Insectoid	Primordia	116	1~10	19~53	1199~6840	32~115	105~123	32~115	100~118	33~118	15~33	35/0/-25/-25/0/0		Scirpo Silk	Scirpo Cyanide Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---
