Name	Gear Slot	Maker	Lv	Defense	set defense (sum)	Battle Traits	Upgrades	 Attr. Resistances	Mat0	Mat1	Mat2	Mat3	Mat4	Mat5	Mat6
Bunnycuff R	R Arm	Candid & Credible	1	2	 	Treasure Sensor X	0	5/5/5/5/5/5	1 Telethia Ring	2 Telethia Emerald	30 Telethia Stem Cell	2 Ryyz's Silver Piercings	7 Lucky Rainbow Whisker	10 Fleecy Fur	1 Infernium
Bunnycuff L	L Arm	Candid & Credible	1	2		Treasure Sensor X	0	5/5/5/5/5/5	1 Telethia Ring	2 Telethia Emerald	30 Telethia Stem Cell	2 Ryyz's Silver Piercings	7 Lucky Rainbow Whisker	10 Fleecy Fur	1 Infernium
Bunnyhoppers	Legs	Candid & Credible	1	3		Treasure Sensor X	0	5/5/5/5/5/5	1 Telethia Ring	2 Telethia Emerald	30 Telethia Stem Cell	2 Ryyz's Silver Piercings	7 Lucky Rainbow Whisker	10 Fleecy Fur	1 Infernium
Bunnybod	Full-Body	Candid & Credible	1	25		EXP Boost X,Secondary CD Reducer X	3	5/5/5/5/5/5	3 Telethia Ring	5 Telethia Emerald	75 Telethia Stem Cell	5 Ryyz's Silver Piercings	15 Lucky Rainbow Whisker	20 Fleecy Fur	1 Foucaultium
Bunnylink R	R Arm	Candid & Credible	1	5		Soft Touch X,Cooldown Reducer X	3	5/5/5/5/5/5	3 Telethia Ring	5 Telethia Emerald	75 Telethia Stem Cell	5 Ryyz's Silver Piercings	15 Lucky Rainbow Whisker	20 Fleecy Fur	1 Foucaultium
Bunnylink L	L Arm	Candid & Credible	1	5		Soft Touch X,Cooldown Reducer X	3	5/5/5/5/5/5	3 Telethia Ring	5 Telethia Emerald	75 Telethia Stem Cell	5 Ryyz's Silver Piercings	15 Lucky Rainbow Whisker	20 Fleecy Fur	1 Foucaultium
Reginal Comm	Head	Unknown	55	20	156	Resistance Reducer IV,Potential Boost IV	3	0/15/5/0/0/5	5 Silver Yggralith Nut	10 Slimy Tongue	10 Broken Pincer	-	-	-	1 Cimmerian Cinnabar
Reginal Plastron	Torso	Unknown	55	55		Max HP Boost IV,Max TP Boost IV	3	0/15/5/0/0/5	5 Silver Yggralith Nut	10 Slimy Tongue	10 Broken Pincer	-	-	-	1 Cimmerian Cinnabar
Reginal Bangle R	R Arm	Unknown	55	18		Melee Attack Boost IV,Bind: Refuel IV	3	0/15/5/0/0/5	5 Silver Yggralith Nut	10 Slimy Tongue	10 Broken Pincer	-	-	-	1 Cimmerian Cinnabar
Reginal Bangle L	L Arm	Unknown	55	18		Ranged Attack Boost IV,Fuel Efficiency Up IV	3	0/15/5/0/0/5	5 Silver Yggralith Nut	10 Slimy Tongue	10 Broken Pincer	-	-	-	1 Cimmerian Cinnabar
Reginal Cords	Legs	Unknown	55	45		Aural Cloaking IV,Weather Master IV	3	0/15/5/0/0/5	5 Silver Yggralith Nut	10 Slimy Tongue	10 Broken Pincer	-	-	-	1 Cimmerian Cinnabar
Regal Comm	Head	Unknown	60	30	236	Resistance Reducer VI,Potential Boost VI	5	0/15/5/0/0/5	5 Golden Yggralith Nut	10 Silver Yggralith Nut	10 Ornate Progen Horn	-	-	-	1 Boiled-Egg Ore
Regal Plastron	Torso	Unknown	60	85		Max HP Boost VI,Max TP Boost VI	5	0/15/5/0/0/5	5 Golden Yggralith Nut	10 Silver Yggralith Nut	10 Ornate Progen Horn	-	-	-	1 Boiled-Egg Ore
Regal Bangle R	R Arm	Unknown	60	28		Melee Attack Boost VI,Bind: Refuel VI	5	0/15/5/0/0/5	5 Golden Yggralith Nut	10 Silver Yggralith Nut	10 Ornate Progen Horn	-	-	-	1 Boiled-Egg Ore
Regal Bangle L	L Arm	Unknown	60	28		Ranged Attack Boost VI,Fuel Efficiency Up VI	5	0/15/5/0/0/5	5 Golden Yggralith Nut	10 Silver Yggralith Nut	10 Ornate Progen Horn	-	-	-	1 Boiled-Egg Ore
Regal Cords	Legs	Unknown	60	65		Aural Cloaking VI,Weather Master VI	5	0/15/5/0/0/5	5 Golden Yggralith Nut	10 Silver Yggralith Nut	10 Ornate Progen Horn	-	-	-	1 Boiled-Egg Ore
Infinite Comm	Head	Unknown	60	40	316	Resistance Reducer VIII,Potential Boost VIII	8	0/15/5/0/0/5	1 Yggralith Gold	10 Noble Yggralith Scale	1 Dagahn's Adamant Band	5 Fossilized Bone	-	-	1 Ouroboros Crystal
Infinite Plastron	Torso	Unknown	60	115		Max HP Boost VIII,Max TP Boost VIII	8	0/15/5/0/0/5	1 Yggralith Gold	10 Noble Yggralith Scale	1 Dagahn's Adamant Band	5 Fossilized Bone	-	-	1 Ouroboros Crystal
Infinite Bangle R	R Arm	Unknown	60	38		Melee Attack Boost VIII,Bind: Refuel VIII	8	0/15/5/0/0/5	1 Yggralith Gold	10 Noble Yggralith Scale	1 Dagahn's Adamant Band	5 Fossilized Bone	-	-	1 Ouroboros Crystal
Infinite Bangle L	L Arm	Unknown	60	38		Ranged Attack Boost VIII,Fuel Efficiency Up VIII	8	0/15/5/0/0/5	1 Yggralith Gold	10 Noble Yggralith Scale	1 Dagahn's Adamant Band	5 Fossilized Bone	-	-	1 Ouroboros Crystal
Infinite Cords	Legs	Unknown	60	85		Aural Cloaking VIII,Weather Master VIII	8	0/15/5/0/0/5	1 Yggralith Gold	10 Noble Yggralith Scale	1 Dagahn's Adamant Band	5 Fossilized Bone	-	-	1 Ouroboros Crystal
True Comm	Head	Unknown	60	50	396	Resistance Reducer X,Potential Boost X	12	0/15/5/0/0/5	1 Golden Yggralith Heart	2 Yggralith Gold	30 Noble Yggralith Scale	2 Dagahn's Adamant Band	5 Fossilized Bone	7 Unlucky Black Whisker	1 Foucaultium
True Plastron	Torso	Unknown	60	145		Max HP Boost X,Max TP Boost X	12	0/15/5/0/0/5	1 Golden Yggralith Heart	2 Yggralith Gold	30 Noble Yggralith Scale	2 Dagahn's Adamant Band	5 Fossilized Bone	7 Unlucky Black Whisker	1 Foucaultium
True Bangle R	R Arm	Unknown	60	48		Melee Attack Boost X,Bind: Refuel X	12	0/15/5/0/0/5	1 Golden Yggralith Heart	2 Yggralith Gold	30 Noble Yggralith Scale	2 Dagahn's Adamant Band	5 Fossilized Bone	7 Unlucky Black Whisker	1 Foucaultium
True Bangle L	L Arm	Unknown	60	48		Ranged Attack Boost X,Fuel Efficiency Up X	12	0/15/5/0/0/5	1 Golden Yggralith Heart	2 Yggralith Gold	30 Noble Yggralith Scale	2 Dagahn's Adamant Band	5 Fossilized Bone	7 Unlucky Black Whisker	1 Foucaultium
True Cords	Legs	Unknown	60	105		Aural Cloaking X,Weather Master X	12	0/15/5/0/0/5	1 Golden Yggralith Heart	2 Yggralith Gold	30 Noble Yggralith Scale	2 Dagahn's Adamant Band	5 Fossilized Bone	7 Unlucky Black Whisker	1 Foucaultium
