	Currently updating names of things										*Starred are learnable Arts		
Soldier of The Harriers	Doug	Admin District	7	30	3	Elma,Lin	Doug	Doug - ♥♥♥	100000	280	*Phenomenon	Talk to Doug; Head to Sandsprint Slope in Sylvalum and fight 6 Rotund Caro; Head further up Sandsprint Slope and defeat 1 Stout Caro; Talk to Doug	
A Friend in Need	Vandham	BLADE Barracks	5	19	4	Elma,Lin	Lao	-	12000	200	*Balance Breaker	Deliver supplies to Zaiden in Barbarich Desert in Oblivia; Head to the meeting point by the Leaning Ring; Defeat 6 Chasm Forfexes; Head past the canyon south of Leaning Ring and fight 1 Fierce Vigent; Talk to Saiden at Division Drive	You may need to talk to Saiden before the meeting point will activate, or fast travel anywhere. For the Vigent fight, try to circle behind it and destroy its legs while it focuses on others, to avoid its AoE
The Matchmaker	Shingo	Commercial District	6	24	3	Elma,Lin	Lao	Lao - ♥	13000	220	*Afterburner	Head to North Founder's Street; Collect 3 Enduron Lead; Talk to Omari; Talk to Jeshero; Purchase a pizza from Powell or Shallot for 10000G; Talk to Jeshero; Head to North Founder's Street	Enduron Lead is obtained from Basic or Mining probes set on FN Sites: 212, 215, 218, 219, 305, 307, 309, 503, 504, or 508.
L's Conundrum	L	Admin District	10	38	4	Elma,Lin,L	-	L - ♥♥,Booming Business	15000	250	*Mindstorm	Complete Material Hunt A, B and C; Return to L's shop	Details on the sub-missions are in the Normal Missions tab.   If you choose the High-Temperature Pot for the man(Thomas) and the Electric Hammock for the woman(Nelly), after the mission, when you speak to them(Thomas is outside the East Gate and Nelly is in the Administrative District Hangar, near Doug at daytime), they'll create good affinity links towards L. If you choose another object, they'll create bad affinity links towards L when you speak with them.
The Nopon Heir	Tora	Admin District	12	49	4	Elma,Lin,L	-	L - ♥♥♥♥,BFFs	40000	500	FILE-USP0280SA,Overdrive.APPEND-HP XV,HP Rebound XV,*Dual Dynamo	Collect 3 Aeviter Star Wings, 1 Obsidian Fragment; Deliver them to Tora; Head to the Divine Roost in Noctilum; Fight the Telethia and obtain the Guardian Etherscale; Talk to Tora	Aeviter Star Wings drop from Aeviters(wings) around Sylvalum, there's a bunch in the sand in the lower sections of the northern region. Obsidian Fragments drop from Millesaurs(body?), go for the ones around Sayram Lake in Primordia. The Telethia fight in this mission is a severely neutered version of the actual enemy, you only have to do a small percentage of its HP[or survive a minuteish?] to 'win'.
Bottoms Up	Frye	Industrial District	4	19	3	-	Phog	Accept at night	11000	190	Frye Joins	Defeat 2 Sapphire Forfexes, Defeat 3 Creek Unafulges; Defeat 3 Strange Liceors; Defeat 2 White Progens; Defeat 1 Gaff Pugilith	
Phoggy Dilemma	Phog	Residential District	4	13	3	-	Frye	Backup Request	11000	190	Phog Joins	Inspect the broken data probe at the Twin Arches in Oblivia; Inspect the broken data probe at Aaroy Plain; Inspect the broken data probe at Twin Arch again; Head to Aaroy Plains and defeat 1 Qmoeva Divider, 1 Marnuk Crafter, 2 Marnuk Analysts	Barnabas, the Despot roams Aaroy Plain during the day. Change the time to night before heading to the final objective to avoid having him interrupt
A Great Divide	Phog	Residential District	7	30	4	Phog	Frye	Phog - ♥♥,Bottoms Up	17000	280	*Sky High	Head to the South Coast in Oblivia and fight 5 Oc-serv Yabar; Talk to Solan; Obtain the Massive Ring Fragment in Barbarich Desert, Butte Ruins Fragment at Ruins on the Butte, and North Coast Riddle Rock from the North Coast; Talk to Solan	Watch out while fighting the Oc-servs if you're using skells, Silvestre passes by and will aggro if you're too close.
Blitzkrieg	Walter	Admin District	8	33	3	-	Frye,Phog	Phog - ♥♥♥,Frye - ♥♥♥,A Great Divide	24000	310	*Crisis Zone,*Bullet Twister,Phog and Frye reconcile	Choose "Attack" for A, "Defend" for B; A: Defeat Menacing Marnuck, Marnuck Gunner, Guard Qmoeva; Head to the East Gate Plain and rescue Phog; Defend for 3 minutes; B: Talk to Walther to begin the defense; Defend for 3 minutes; Head to Bedrock Fort and rescue Frye; Defend for 5 minutes;	The route you choose in the beginning changes your main objectives, and you get different dialogue depending on your partner. Bedrock Hold is full of lv40+ enemies, but it's fairly easy to sneak into. FRYE:  If you choose Frye's route, the enemies you have to kill there will aggro as soon as you enter the objective circle. A lv40+ Rebel Queen Qmoeva will aggro with Frye's enemies, and the Fal-swos nearby will aggro too if you get too close in a skell, so avoid his route if you don't have a well-equipped team capable of handling those enemies. Frye's defense consists of lv37 Galdrs and lv34 Marnucks. PHOG: Phog's first defense consists of lv27 Puges and lv28 Marnucks. You can sneak through the left gate of Bedrock Hold to reach Frye undetected by the Tower Qmoevas. Phog's second defense consists of a lv31 Galdr, lv 28 Marnucks, and two lv30 Qmoevas. Only the Marnucks respawn. The Fal-swo that is normally located in the area will not spawn during the defense, so you don't have to worry about it being dragged into the fight.
Brotherly Love	Frye	Admin District	11	46	4	-	Frye,Phog	Phog - ♥♥♥♥,Frye - ♥♥♥♥,Blitzkrieg	41000	460	Fig: Innovation Inspiration,FILE-USP1380SA,*Titan Recharge	Inspect the resource at Badr Stonebridge in Sylvalum; Inspect the resource at Anvil Rock One; Inspect the resource at North Cinderdunes; Inspect the resource at South Hardheart Canyon; Talk to Walter	Candelario(at Badr) won't aggro you if you're on foot.
Hope Springs Eternal	Hope	Residential District	3	21	3	-	-	Marry Me!	10000	170	Hope Joins	Talk to Lularita at Drongo Caravan in Cauldros; Defeat 5 Mold Caro at Scholes Battleground; Talk to Lularita; Talk to Ornella	Consider leaving this until later if you think you'll have trouble reaching Cauldros, or just swimming to it if you've already accepted it
A False Hope	Hope	Admin District	5	24	4	Hope	-	Hope - ♥♥	13000	230	*Secondary Speed	Gather Intel at Commercial District; Talk to Ada in the Hangar; Talk to Ada at South Janpath Plain in Primordia between 0:00~5:00 and defeat SN333: Jisanne, 2 Milsaadi Corroders, and 2 Milsaadi Corroders	Intel is in the SE corner of the Comm District
A Present for Hope	Ada	Residential District	10	44	4	Hope	-	Hope - ♥♥♥♥	30000	410	FILE-USP1280ME,*Tacit Censure	Gather 3 pieces of Intel from the Administrative Area; Talk to Ada; Talk to Quentin; Talk to Lularita; Inspect the White Whale Debris in Cauldros; Talk to Ada	The Intel can be found: on the stairs in front of the BLADE Tower, by the south edge of the BLADE Tower, and next to Wolf at the BLADE Concourse. Be careful when approaching Lularita, the nearby Volcannon Cinicula won't spot you if you follow the edge of the cliff from its side. 
My Dream	Murderess	Admin District	5	22	3	Irina	-	-	-	230	Spherical EM Motor,Resonating Madonater,Murderess Joins	Inspect the White Whale Debrie at Middle Hushflood in Noctilum, chooes "Cede" for A, "Fight" for B; A: Talk to Eleonora; B: Fight 1 Running Shark, 1 BLADE Trooper, 1 BLADE Sniper; Talk to Eleonora;	The choice doesn't change the outcome, so avoid the fight if you aren't confident you'll be able to beat them. If you do fight, try focusing Running Shark down first, it uses strong AoE attacks.
The Little Rich Girl	Murderess	Admin District	10	39	4	Murderess	-	Murderess - ♥♥,Haywire	32000	420	*Seventh Edge	A: Defeat the Disaster Vigent using a Scrap Duo; B: Talk to Yolanda and give up; Talk to Eleonora; Complete [NM] Hackers and [NM] Securing Lan'cord; Talk to Eleonora	The Scrap Duo is given to you upon accepting the quest, don't forget to equip it to someone if you plan on doing the fight. If you complete the fight Yolanda skimps on the bet, if you give up Murderess just threatens Yolanda. The research data is in the base in Noctilum, Lan'cord's location can be obtained from either Primordia's or Oblivia's. See the Normal Missions tab for more details on accessing the terminals. The sub-missions can be done in any order, the only difference is a bit of dialogue from Murderess.
Serial Thriller	Murderess	Commercial District	12	53	4	Murderess	Irina	Murderess - ♥♥♥♥,A False Hope,The Little Rich Girl	43000	460	FILE-USP0780SA,*Gravity Lunge	Talk to Eleonora; Gather Gossip in places; Talk to Eleonora; Talk to Martin, and fight Interfearance; Talk to Irina	
Nagi's Time	Vandham	BLADE Barracks	8	32	3	Elma,Lin	-	-	22000	280	Fig: White Whale,Nagi Joins,*True Stream Edge	Head to Northpointe Beach; Head to the northern part of Northpointe Beach	There's no fighting involved here, just locationhopping
Reporting for Duty	Vandham	Admin District	10	41	4	Elma,Lin,Nagi	-	Nagi - ♥♥♥	32000	400	*Blossom Dance	Head to Hilal Stronghold in Sylvalum; Talk to the survivor; Rescue the survivor in Badr Stronghold, wonder why there aren't more cutscenes like that in this game, then defeat 1 Marnuck Commander and 2 Marnuck Soldiers; Head to the Maintenance Center	Hilal should be easy enough to sneak into, but you may have to fight the Puges guarding the building, and a Milsaadi Executioner is waiting by the survivor. Badr is much easier to infiltrate, simply follow the wall SW from 404, and you'll drop right next to the target building.
Manhunt	Vandham	Admin District	8	33	4	Elma,Lin	-	-	22000	300	-	Head to Qing Long Glade in Noctilum, and choose "Agree" to shake them down for A, "Disagree" for B; A: Defeat 2 Marnuck Soldiers; Head to Shark's Jaws and defeat 1 Marnuck Commander, 5 Marnuck Soldiers; B: Head inside Shark's Jaws and defeat 1 Marnuck Commander and 2 Marnuck Soldiers; Check on Celica at the Integrated Production Plant;	You'll have to fight less enemies if you don't attack the Marnuck by the campfire, and get some slightly different dialogue when meeting Celica and Rock, but the directions to the Shark's Jaws will also be more vague. The entrance to Shark's Jaws is northeast of FN210.
New in New LA	Rock	Industrial District	9	44	4	Elma,Lin	-	Manhunt	26000	360	Celica Joins,*Black Bane	Gather Intel in the Administrative District; Talk to Vandham; Gather more Intel in the Administrative District; Talk to Rock; Head to the Behemoth's Shadows in Sylvalum; Head inside and fight 1 Dimnet Xiphias; Talk to Celica; Talk to Vandham	The intel is in the same spot both times: a woman near the Arms Manufacturer console in Armory Alley. Take care not to aggro everything in the cave, most monsters inside have proximity detection.
Fitting In	Celica	Industrial District	11	46	4	Elma,Lin,Celica	-	Celica - ♥♥♥,A Girl's Wings,BFFs	41000	460	FILE-USP0580GG,*Zero Zero	Head to Industrial Area; Gather Intel at the Commercial District; Talk to Mujiji; Collect 4 Aerozium, then fight Stratospheric Balaena; Talk to Rock	The Intel is at the Nopon Bazaar. The Balaena is pretty tough, so consider using a party of skells, or waiting until you have access to level 50 frames.
Mia Grows Up	Tora	Admin District	12	53	4	Mia	-	Mia - ♥♥♥♥,Sparking a Smile	52000	510	Fig: Shilt Series,*Beam Bomber,*Clear Ray	Talk to Nan; Collect 1 ranbowstache, 1 somethingfragment, 1 bandogerium; Deliver them to Nan; Talk to Mamana; Talk to Torton; Head to Dorian Caravan in Oblivia	
A Day in the Life	Vandham	BLADE Barracks	4	16	4	Elma,Lin	Nagi	-	10000	180	Limited Tank Top (Black Camo)	Head to Barista Court beween 7:00~11:59; Head to the Hangar between 12:00~16:59; Collect 1 Blue Electrical Tentacle; Deliver it to Cedric; Gather Intel at one of two places; Inspect the BLADE Tower Entrance between 19:00~4:59; Defeat SailIng Grex; Report back to the BLADE Tower	Blue Electrical Tentacles drop from Duoguills in Primordia, Headwater Cavern(Biahno Lake) and north Biahno River(night) have low level ones Intel is across the road from the Hangar(by all the crates), or ??? The Sailing Grex is surrounded by Fighter Grex, but they're optional
Two Peas in a Pod	Vandham	BLADE Barracks	11	47	4	Elma,Lin	-	Lin - ♥♥♥,A Day in the Life	39000	460	SRM-USP140SA Hexad-Partican,FILE-USP0140SA,FILE-USP0160SA,FILE-USP0180SA	Head to the Outfitters Test Hangar; Do the following: ~ Talk to Alan; Collect 3 Qmoevan Capacitors; Deliver them to Alan; ~ Talk to Brenna; Collect 3 Marine Rutile; Deliver them to Brenna; Talk to Vandham	You can do Alan and Brenna's requests in either order. Qmoevan Capatiors drop off any Qmoeva, Marine Rutile come from various FN spots. At this point in the game, you'll most likely complete everything instantly anyway.
The Ties That Bind	Tatsu	Commercial District	4	15	4	Elma,Lin	-	-	12000	200	Fig: Memento	Head to Dodonga Caravan in Whale's Nostril in Noctilum; Talk to Koko; Head SE of Biahno Lake in Primordia; Collect Dadapon's Sunglasses from Headwater Cavern; Talk to Koko	A lv22 Bizarre Insidia guards the glasses, but you can sneak around it
BFFs	Van Damme	BLADE Barracks	5	22	4	Elma,Lin	-	The Ties That Bind	15000	240	Nopon Arms company available	Complete [NM]s Dodonga Caravan and Dorian Caravan; Talk to Vandham	See Normal Missions sheet for details on submissions
Spy Games	Maurice	Admin District	7	28	4	Elma,Lin	Nagi	-	13000	220	Veteran's Uniform	Head to the BLADE Barracks; Head to Jair Fort in Oblivia and defeat 3 Marnuck; Head inside the BLADE Tower; Talk to Pfeffen; Head back inside BLADE Tower	Jair Fort is very heavily guarded, but you can sneak inside through the 'front' entrance from Sea Whisper Valley. If you jump down and follow the cliff ledge southeast of the landmark for Jair Fort, you'll only have to avoid a single Quo. Then simply leap up the rockwall of the raised area with the objective on it.
Prospective Partners	Maurice	BLADE Barracks	9	34	4	Elma,Lin	-	Mira>18%,Spy Games	26000	360	Fig: Luxaar's Ship	Explore Mira>20%; Head to the BLADE Tower; Head to the Middle Hushflood in Noctilum; Collect parts from the 3 Wrothian Skells; Deliver them to Maurice	
A Challenger Approaches	Maurice	BLADE Barracks	10	42	4	Elma,Lin	-	Prospective Partners	32000	410	Warhorse's Uniform,Fig: Ga Jiarg,Fig: Ga Buidhe	Head to Wrothian Stronghold in Oblivia and defeat Ga Buidhe, Zo Borri and Zo Fwar; A: Collect 5 Med Kits at Hilal Stronghold in Sylvalum; B: Pay Jeffrey 100000G for the Med Kits; Deliver them to Ga Jiarg	The source of the Med Kits doesn't matter.
Lionhearted	Ni Zain	Cauldros	12	51	4	Elma,Lin	-	A Challenger Approaches	54000	520	Fig: Caladar,FILE-USP1180SA	Head to the Ganglion Weapons Hangar in Cauldros, fight 3 Nameless Caladar, choose "Propose" at the second prompt for A, or "Wager" for B; Defeat 5 Nameless Caladar; Defeat 1 Nameless Caladar	The only difference between A and B is a bit of dialogue. In A you assist them in killing the tenth, in B you beat them to the eleventh. It's not a very interesting difference.
A Girl's Wings	Vandham	Industrial District	9	33	1	-	-	The Skell License,Flight Module	24000	330	Flight Module for Skells	Collect 1 Upgraded Coil and 1 Light-Speed Jet Fin; Head to the Outfitter's Test Hangar; Place a Data Probe in FN Site 110; Head back to the Test Hangar	Upgraded Coils drop from Oc-servs, an easy target is Si-el, the Vacuous in Noctilum. The Jet Fins drop from Aetrygons(break their dorsal fin jet), there are several in the Azure Lagoon and along the central river in Oblivia.												
A New Rival?	HB	Admin District	3	12	3	-	-	-	9000	160	HB Joins	Installation Research Miranium; Talk to HB; Head to Rust Lake in Noctilum; Defeat 1 Thieving Dilus; Talk to Solan	Mission is right next to Mission Control See Normal Mission section for more details on the submissions
The King of Fear	Eleonora	Residential District	7	32	4	HB	-	HB - ♥♥,BFFs,Prone Sweet Prone,Noctilum>25%	18000	290	*Atomic Hit	Head to Ishmael Hills; Talk to the Nopon at Lotus Keep Building Site in Noctilum; Head to the Blood-King's camp at the Sapphire Table; Defeat Blood-king Gelvo Banth, 2 Prone Box, 2 Prone Hearthkeepr; Talk to Pulala	Gelvo Banth is level 40, so you may want to use a skell for this battle. 
Climbing the Ladder	HB	Admin District	9	37	4	HB	-	HB - ♥♥♥♥	28000	340	FILE-SK-POLICE,Hidden Cantor Hoard,Galaxial Jewel,Multi-Wire,*Flamehand	Defeat 3 Soldier Insidias; Head to Weeping Whitewoood and talk to Lara Nara; Defeat 1 Empress Insidia; Head to the BLADE Tower	
Meeting Yelv	Yelv	Commercial District	3	14	3	-	-	-	9000	160	Yelv Joins	Mission A Mission B Mission C; Talk to Yelv; Head to BLADE Concourse with Yelv; Head to North Coast in Oblivia, and collect the wreckage; Defeat 3 Hermit Insidia; Inspect the White Whale Debris; Talk to Eleonora	Mission is right next to Yelv's spot, near North Founders Street See Normal Mission section for more details on the submissions
Arms and the Man	Yelv	Admin District	6	28	4	Yelv	-	Yelv - ♥♥	15000	250	*Essence Exchange	Gather Intel in the Commercial District; Head to Sunshine Cafe; Approach the wreckage at Great Washington Isle, and defeat 3 Unyielding Forfexes; Inspect the wreckage	The intel is in the southest part of the district, near where Bozé hangs out.
Yelv's Partner	Yelv	Commercial District	11	50	4	Yelv	-	Yelv - ♥♥♥♥,Oblivia>50%,Found Mimeosome Left Leg,Found Mimeosome Right Leg	41000	460	FILE-R1306FC,Golden Stabilizer,Rainbow Metal,Standard Coil,*Master Gunner	Talk to Eleonora; Head to Eddie's Conquest in Oblivia, and fight Gale Milsaadi	The Mimeosome Left Leg is in the northern part of the East Ibra Ravine, near all the Malium Petramands. The Mimeosome Right Leg is a little bit southwest of FN316, on the shore of Lake Basel. The quest start point is west of the North Founders Street landmark.
Weaponized	Alexa	Industrial District	4	17	3	-	-	Guinea Pigs Wanted!,Outfitters Test Hangar not in use	11000	190	Ramjet Rifle,Alexa Joins	Defeat Alexa Special; Head to Needle Rock Sandsea in Sylvalum; Choose "Agree" for A, "Object" for B; A: Defeat 5 Trump Papil and 1 Trump Arenatect with the Ramjet Rifle equipped; B: Defeat 5 Trump Papil with the Ramjet Rifle equipped; Talk to Tika	Agreeing with Alexa about the extra test data requires you to defeat an additional(rather difficult early on) enemy, but otherwise doesn't affect the outcome[need confirmation]
What the Skell?!	Alexa	Industrial District	9	36	4	Alexa	-	Alexa - ♥♥	26000	360	*Overclock	Talk to Camber; Collect 5 Standard Blade Modules and 6 Pan-Analysis Chips; Talk to Tika; Defeat 3 Canyon Cantors with Sparkjet Rifle equipped; Defeat Rodriguez, the Twin-Tusked with the Sparkjet Rifle equipped; Talk to Tika; Gather Intel and find the culprit	The Blade Modules drop from Shrads(break the noodle arms), the easiest are in White Phosphor Lake in Cauldros. The Chips are also found there. Intel: A man by the entrance to the Test Hangar building will point you towards the diner. A woman across the street from the diner will tell you someone ran off towards the Administrative District, and a man on the road leading there will point you to the nearby stairs. If you're somehow lost, just head to the stairwell southwest of the North Founders Street landmark in the Commercial District.
Rapid Misfire	Alexa	Industrial District	11	50	4	Alexa	-	Alexa - ♥♥♥♥	42000	470	FILE-SK-EXCAVATOR,Seidr Control Device,Obsidian Cluster,Reinforced Crank,*Maximum Voltage	Head to the Decapotamon in Noctilum; Search for Camber; Inspect the Skell at the test site; Talk to Mika; Defeat 2 Scout Qmoeva and Scout Galdr	The quest start point is in the Outfitters Test Hangar. Camber is in the northeastern section of the objective circle, on a small section of land against the mountains. Watch out you don't aggro too many nearby enemies during the fight.
The Mad Monk	Bozé	Admin District	5	20	3	-	-	Backup Request	13000	220	Bozé Joins	Head to Vitriol Cesspool in Noctilum; Choose "Follow" for A, "Demand" for B; A: Continue; B: Gather 5 Muneria Flowers; Talk to Jejebba; Talk to Survivor; Defend against Heinous Blatta for 2 minutes; Defend against Heinous Forfex for 2 more minutes; Talk to Reggie; Talk to Eleonora	Choosing to ignore Jejebba results in him dying, and alters one of Bozé's later missions slightly. Enter the Vitriol Cesspool during the day, the Logi Blatta will aggro at night. Hug the west wall as you approach the survivor to avoid the Falsaxum noticing you. If you're defeated during the second wave, you don't have to redo the first. You can sprint in circles around the Forfexes to stall for some time.
Bozé's Way	Bozé	Admin District	7	30	4	Bozé	-	Bozé - ♥♥	17000	280	*Vortex	Head to Qing Long Glade in Noctilum; Head to the Ensconced Citadel; Head inside and defeat Zealot Glennar and 2 Prone Fighters; Inspect Clarissa's corpse	The mission is all the way south in the district. 
Bozé's Ignorance	Bozé	Admin District	9	37	4	Bozé	-	Bozé - ♥♥♥♥,Prone Sweet Prone	24000	370	FILE-SK-DOZER,Advanced Thruster,New Cylinder,Standard Sensor Part,*Slayonet	Head to the Infernal Ledges in Cauldros; A: Defeat ST816: Stalio and 3 Definian; B: Defeat ST816: Stalio; Defeat the Trigger Scintimure; Talk to Eleonora	If you saved Jejebba in The Mad Monk, his device will alert you to Stario's presence, and you'll only have to fight her (route B). If you left him to die, you have to fight 3 Definians along with her (route A). The Trigger Scintimure is level 44, and only uses Electric attacks. If you're unable to beat it through normal means, consider purchasing a set of armor from Candid & Credible. Their gear has 20 Electric res per piece, and with 100 total, the Scintimure's attacks won't touch you.
