Miranium cost for all superweapons are  lv 30: 10000, lv 50: 20000, lv 60: 30000	All Superweapons are Right Slot Only													
SSM-USP1180SA Deus-Crusher 	Lionhearted	Shoulder	60	16320	0			Physical	AttributeDmg.PHYS IX,AppendLost.ATK-UP IX,AppendLost.GP IX		12 Libertas Glyph	12 Laser Light	24 Octopus Board	36 Quality Crank	2 Everfreeze Ore
SSM-USP580GG Electric-Flood 	Fitting In	Shoulder	60	19200	0			Electric	Vehicle.DEBUFF-RES IX,Overdrive.EXTEND IX,Jamming IX		12 Libertas Glyph	12 Eerie Lightning Tentacle	24 Damask Metal	36 All-Purpose Plug	2 Everfreeze Ore
SRM-USP940GG Dragoon-Lance 	Two Peas in a Pod	Back + Shoulders	30	19200	1	3	1200	Beam	AttributeDmg.BEAM V,Overdrive.FRAME-HP V,Slayer.ULTRAFAUNA V		2 Dialek Glyph	2 Laser Light	3 Octopus Board	6 Quality Crank	2 Aurorite
SRM-USP340GG Zweihand-Q 	Two Peas in a Pod	Back	30	24000	0	3	1200	Gravity	AttributeDmg.PHYS V,Overdrive.APPEND-HP V,Arts.GP V		2 Dialek Glyph	2 Eerie Lightning Tentacle	3 Damask Metal	6 All-Purpose Plug	2 Aurorite
SSM-USP1280ME Barrage-Cloak 	A Present for Hope	Shoulder	60	24000	0			Beam	Reflect.DAMAGE-UP IX,Overdrive.FRAME-HP IX,Spike.EVA IX		12 Libertas Glyph	12 Laser Light	24 Octopus Board	36 Qmoevan Capacitor	2 Everfreeze Ore
SRM-USP440ME Trident-Anchor 	Two Peas in a Pod	Back	30	31200	1	1	1500	Electric	AttributeDmg.ETHER V,Reflect.DAMAGE-UP V,Reflect.ADD-ETHER V		3 Dialek Glyph	3 Eerie Lightning Tentacle	4 Damask Metal	9 Tempered Blade Module	2 Aurorite
SSM-USP1460SA Megaflame-B 	Mech - Cauld - NW corner Infernal Ledges	Shoulder	50	32000	1			Thermal	AttributeDmg.THERM VII,Overdrive.APPEND-HP VII,Crush.APPEND VII		8 Tempus Glyph	8 Laser Light	12 Octopus Board	24 Qmoevan Capacitor	2 Lionbone Bort
SRM-USP960GG Dragoon-Lance 	Mech - Obliv - Wrothian cave camp	Back + Shoulders	50	38400	1	3	1200	Beam	AttributeDmg.BEAM VII,Overdrive.FRAME-HP VII,Slayer.ULTRAFAUNA VII		6 Tempus Glyph	6 Laser Light	12 Octopus Board	24 Quality Crank	2 Lionbone Bort
SRM-USP360GG Zweihand-Q 	Mech - Prim - SW region of Seaswept Ridge	Back	50	48000	0	3	1200	Gravity	AttributeDmg.PHYS VII,Overdrive.APPEND-HP VII,Arts.GP VII		6 Tempus Glyph	6 Eerie Lightning Tentacle	12 Damask Metal	24 All-Purpose Plug	2 Lionbone Bort
SSM-USP1480SA Megaflame-B 	Definian Downfall	Shoulder	60	48000	1			Thermal	AttributeDmg.THERM IX,Overdrive.APPEND-HP IX,Crush.APPEND IX		16 Libertas Glyph	16 Laser Light	24 Octopus Board	48 Qmoevan Capacitor	2 Everfreeze Ore
SRM-USP140SA Hexad-Partican 	Two Peas in a Pod	Back + Shoulders	30	57600	0	1	1200	Beam	Draw.OPENING-DMG V,Appendlost.ATK-UP V,Vehicle.FRAME-DEF V		2 Dialek Glyph	2 Eerie Lightning Tentacle	3 Damask Metal	6 All-Purpose Plug	2 Aurorite
SRM-USP980GG Dragoon-Lance 	Plans of Attack	Back + Shoulders	60	57600	1	3	1200	Beam	AttributeDmg.BEAM IX,Overdrive.FRAME-HP IX,Slayer.ULTRAFAUNA IX		12 Libertas Glyph	12 Laser Light	24 Octopus Board	36 Quality Crank	2 Everfreeze Ore
SRM-USP460ME Trident-Anchor 	Mech - Prim - isle far W of FN102	Back	50	62400	1	1	1500	Electric	AttributeDmg.ETHER VII,Reflect.DAMAGE-UP VII,Reflect.ADD-ETHER VII		8 Tempus Glyph	8 Eerie Lightning Tentacle	12 Damask Metal	24 Tempered Blade Module	2 Lionbone Bort
SRM-USP1340SA Detonation-F 	Two Peas in a Pod	Back	30	62720	0			Thermal	AttributeDmg.THERM V,Overdrive.APPEND-HP V,Damage.GP-GAIN V		3 Dialek Glyph	3 Laser Light	4 Octopus Board	9 Quality Crank	2 Aurorite
SRM-USP380GG Zweihand-Q 	To Serve Nopon	Back	60	72000	0	3	1200	Gravity	AttributeDmg.PHYS IX,Overdrive.APPEND-HP IX,Arts.GP IX		12 Libertas Glyph	12 Eerie Tentacle	24 Damask Metal	36 All-Purpose Plug	2 Everfreeze Ore
SRM-USP240SA Zenith-Cannon 	Two Peas in a Pod	Back	30	73600	0	1	1500	Physical	Crush.APPEND V,Overdrive.APPEND-HP V,Crush.GP V		2 Dialek Glyph	2 Eerie Lightning Tentacle	3 Damask Metal	6 Tempered Blade Module	2 Aurorite
SRM-USP740SA Antimatter-R 	Two Peas in a Pod	Back	30	88000	1			Gravity	AttributeDmg.GRAV V,Overdrive.APPEND-HP V,Night.MR-ACC V		2 Dialek Glyph	2 Laser Light	3 Octopus Board	6 Quality Crank	2 Aurorite
SRM-USP480ME Trident-Anchor 	The Lurker	Back	60	93600	1	1	1500	Electric	AttributeDmg.ETHER IX,Reflect.DAMAGE-UP IX,Reflect.ADD-ETHER IX		16 Libertas Glyph	16 Eerie Lightning Tentacle	24 Damask Metal	48 Tempered Blade Module	2 Everfreeze Ore
SRM-USP160SA Hexad-Partican 	Two Peas in a Pod	Back + Shoulders	50	115200	0	1	1200	Beam	Draw.OPENING-DMG VII,Appendlost.ATK-UP VII,Vehicle.FRAME-DEF VII		6 Tempus Glyph	6 Eerie Lightning Tentacle	12 Damask Metal	24 All-Purpose Plug	2 Lionbone Bort
SRM-USP1360SA Detonation-F 	Mech - Caul - above FN513	Back	50	125440	0			Thermal	AttributeDmg.THERM VII,Overdrive.APPEND-HP VII,Damage.GP-GAIN VII		8 Tempus Glyph	8 Laser Light	12 Octopus Board	24 Quality Crank	2 Lionbone Bort
SRM-USP260SA Zenith-Cannon 	Mech - Prim - skyisle NW of Talon Rock	Back	50	147200	0	1	1500	Physical	Crush.APPEND VII,Overdrive.APPEND-HP VII,Crush.GP VII		6 Tempus Glyph	6 Eerie Lightning Tentacle	12 Damask Metal	24 Tempered Blade Module	2 Lionbone Bort
SRM-USP180SA Hexad-Partican 	Two Peas in a Pod	Back + Shoulders	60	172800	0	1	1200	Beam	Draw.OPENING-DMG IX,Appendlost.ATK-UP IX,Vehicle.FRAME-DEF IX		12 Libertas Glyph	12 Eerie Tentacle	24 Damask Metal	36 All-Purpose Plug	2 Everfreeze Ore
SRM-USP760SA Antimatter-R 	Mech - Noct - 205 NE (hi)	Back	50	176000	1			Gravity	AttributeDmg.GRAV VII,Overdrive.APPEND-HP VII,Night.MR-ACC VII		6 Tempus Glyph	6 Laser Light	12 Octopus Board	24 Quality Crank	2 Lionbone Bort
SRM-USP1380SA Detonation-F 	Brotherly Love	Back	60	188160	0			Thermal	AttributeDmg.THERM IX,Overdrive.APPEND-HP IX,Damage.GP-GAIN IX		16 Libertas Glyph	16 Laser Light	24 Octopus Board	48 Quality Crank	2 Everfreeze Ore
SRM-USP280SA Zenith-Cannon 	The Nopon Heir	Back	60	220800	0	1	1500	Physical	Crush.APPEND IX,Overdrive.APPEND-HP IX,Crush.GP IX		12 Libertas Glyph	12 Eerie Tentacle	24 Damask Metal	36 Tempered Blade Module	2 Everfreeze Ore
SRM-USP780SA Antimatter-R 	Serial Thriller	Back	60	264000	1			Gravity	AttributeDmg.GRAV IX,Overdrive.APPEND-HP IX,Night.MR-ACC IX		12 Libertas Glyph	12 Laser Light	24 Octopus Board	36 Quality Crank	2 Everfreeze Ore
