ID	Referenced By	stats	name	resource	c_name_id	mnu_vision_face
19	5 refs JNL_quest0101#Monster Quest 2 - Part 2 poplist0101#228 poplist0101#229 poplist0101#230 poplist0101#231	Baby Armu	Baby Armu	503	Armu	0
20	6 refs poplist0101#172 poplist0101#173 poplist0101#174 poplist0101#175 poplist0101#176 poplist0101#177	Plain Armu	Plain Armu	503	Armu	0
21	10 refs JNL_quest0101#Monster Quest 1 - Part 1 poplist0101#79 poplist0101#81 poplist0101#83 poplist0101#125 poplist0101#126 poplist0101#152 poplist0101#154 poplist0101#156 poplist0101#171	Ridge Antol	Ridge Antol	560	Antol	0
22	5 refs poplist0101#178 poplist0101#179 poplist0101#246 poplist0101#247 poplist0101#248	Clinger Antol	Clinger Antol	560	Antol	0
23	14 refs poplist0101#63 poplist0101#65 poplist0101#67 poplist0101#71 poplist0101#73 poplist0101#75 poplist0101#123 poplist0101#158 poplist0101#160 poplist0101#162 poplist0101#227 poplist0101#233 poplist0101#235 poplist0101#238	Little Vang	Little Vang	553	Vang	0
24	8 refs poplist0101#182 poplist0101#184 poplist0101#186 poplist0101#188 poplist0101#189 poplist0101#190 poplist0101#191 poplist0101#251	Shadow Vang	Shadow Vang	553	Vang	0
25	10 refs JNL_quest0101#Monster Quest 2 - Part 1 poplist0101#222 poplist0101#223 poplist0101#224 poplist0101#225 poplist0101#236 poplist0101#239 poplist0101#243 poplist0101#244 poplist0101#245	Lake Flamii	Lake Flamii	540	Flamii	0
26	3 refs poplist0101#214 poplist0101#215 poplist0101#216	Opulent Flamii	Opulent Flamii	540	Flamii	0
27	5 refs poplist0101#213 poplist0101#214 poplist0101#215 poplist0101#216 poplist0101#217	Resplendent Flamii	Resplendent Flamii	539	Flamii	0
28	3 refs poplist0101#180 poplist0101#249 poplist0101#250	Heavy Brog	Heavy Brog	518	Brog	0
29	18 refs JNL_quest0101#Monster Quest 1 - Part 2 poplist0101#85 poplist0101#87 poplist0101#89 poplist0101#91 poplist0101#93 poplist0101#95 poplist0101#97 poplist0101#99 poplist0101#101 poplist0101#103 poplist0101#105 poplist0101#107 poplist0101#109 poplist0101#111 poplist0101#142 poplist0101#143 poplist0101#144	Cute Brog	Cute Brog	518	Brog	0
30	1 refs poplist0101#5	Ancient Machine	Ancient Machine	464	White	0
31	1 refs poplist0101#6	Ancient Machine	Ancient Machine	464	White	0
32	1 refs poplist0101#4	Common Caterpile	Common Caterpile	566	Caterpile	0
33	1 refs poplist0101#3	Colony Krabble	Colony Krabble	579	Aquatic	0
34	2 refs JNL_quest0101#Challenge 1 poplist0101#14	Evil Rhangrot	Evil Rhangrot	489	Bunnit	0
35		35		488	Bunnit	0
36	1 refs poplist0101#16	Itinerant Dorothea	Itinerant Dorothea	580	Krabble	0
37	1 refs poplist0101#18	Impenetrable Redrob	Impenetrable Redrob	579	Krabble	0
38	2 refs JNL_quest0101#Challenge 2 poplist0101#13	Verdant Bluchal	Verdant Bluchal	566	Caterpile	0
39		39		580	Bunnit	0
40	2 refs JNL_quest0101#Challenge 3 poplist0101#15	Lake Magdalena	Lake Magdalena	590	Sardi	0
41	1 refs poplist0101#15	Pawn Piranhax	Pawn Piranhax	589	Piranhax	0
42	1 refs poplist0101#17	Gentle Mother Armu	Gentle Mother Armu	503	Armu	0
43	1 refs poplist0101#17	Baby Armu	Baby Armu	503	Armu	0
44	1 refs poplist0101#19	Gentle Rodriguez	Gentle Rodriguez	518	Brog	0
45	1 refs poplist0101#20	Flailing Bracken	Flailing Bracken	540	Flamii	0
46	1 refs poplist0101#21	Roguish Frengel	Roguish Frengel	560	Antol	0
47	2 refs JNL_quest0101#The Plan - Execution poplist0101#22	Dark Murakmor	Dark Murakmor	535	Tokilos	0
48	1 refs poplist0101#28	Lakebed Orthlus	Lakebed Orthlus	595	Torta	0
49	1 refs poplist0101#23	Enchanting Grune	Enchanting Grune	541	Flamii	0
50	1 refs poplist0101#24	Speedy Ramshyde	Speedy Ramshyde	490	Bunnit	0
51	1 refs poplist0101#25	Shadeless Matrix	Shadeless Matrix	553	Vang	0
52	2 refs JNL_quest0101#Getting to Know Minnie poplist0101#26	Vicious Rhana	Vicious Rhana	521	Rhana	0
53	2 refs JNL_quest0101#Pestering Paola poplist0101#27	Fiendish Bunnit	Fiendish Bunnit	490	Bunnit	0
54		54		541	Bunnit	0
55	19 refs poplist0101#255 poplist0101#256 poplist0101#262 poplist0101#265 poplist0101#269 poplist0101#291 poplist0101#292 poplist0101#295 poplist0101#297 poplist0101#299 poplist0101#302 poplist0101#306 poplist0101#309 poplist0101#311 poplist0101#314 poplist0101#317 poplist0101#320 poplist0101#325 poplist0101#330	Mechon M31	Mechon M31	414	White	0
56	23 refs poplist0101#257 poplist0101#258 poplist0101#263 poplist0101#264 poplist0101#268 poplist0101#272 poplist0101#274 poplist0101#293 poplist0101#294 poplist0101#296 poplist0101#298 poplist0101#300 poplist0101#301 poplist0101#305 poplist0101#308 poplist0101#310 poplist0101#316 poplist0101#329 poplist0101#333 poplist0101#338 poplist0101#340 poplist0101#341 poplist0101#342	Mechon M69	Mechon M69	409	White	0
57	19 refs poplist0101#261 poplist0101#277 poplist0101#280 poplist0101#303 poplist0101#312 poplist0101#319 poplist0101#323 poplist0101#324 poplist0101#326 poplist0101#327 poplist0101#331 poplist0101#333 poplist0101#336 poplist0101#337 poplist0101#338 poplist0101#339 poplist0101#340 poplist0101#341 poplist0101#342	Mechon M63	Mechon M63	423	White	0
58	10 refs poplist0101#253 poplist0101#254 poplist0101#260 poplist0101#267 poplist0101#270 poplist0101#276 poplist0101#279 poplist0101#304 poplist0101#313 poplist0101#335	Mechon M72	Mechon M72	424	White	0
59	15 refs poplist0101#252 poplist0101#259 poplist0101#266 poplist0101#271 poplist0101#273 poplist0101#275 poplist0101#278 poplist0101#307 poplist0101#315 poplist0101#318 poplist0101#321 poplist0101#322 poplist0101#328 poplist0101#332 poplist0101#334	Mechon M82	Mechon M82	433	White	0
60		60		439	White	0
61	1 refs poplist0101#1	Metal Face	Metal Face	466	White	896
62	2 refs BTL_GimmckBossRescue#2 poplist0101#2	Metal Face	Metal Face	467	White	896
63	2 refs BTL_GimmckBossRescue#1 poplist0101#7	Mechon M63	Mechon M63	423	White	0
64	1 refs poplist0101#8	Mechon M31	Mechon M31	414	White	0
65	1 refs poplist0101#8	Mechon M51	Mechon M51	409	White	0
66	1 refs poplist0101#9	Mechon M82	Mechon M82	433	White	0
67	1 refs poplist0101#9	Mechon M72	Mechon M72	424	White	0
68	1 refs poplist0101#9	Mechon M69	Mechon M69	409	White	0
69	1 refs poplist0101#10	Mechon M82	Mechon M82	433	White	0
70	1 refs poplist0101#11	Mechon M72	Mechon M72	424	White	0
71	1 refs poplist0101#12	Mechon M42	Mechon M42	439	White	0
72	2 refs poplist0101#281 poplist0101#289	Mechon M42	Mechon M42	440	White	0
73	2 refs poplist0101#282 poplist0101#287	Mechon M51	Mechon M51	410	White	0
74	3 refs poplist0101#284 poplist0101#286 poplist0101#288	Mechon M69	Mechon M69	428	White	0
75	3 refs poplist0101#283 poplist0101#285 poplist0101#290	Mechon M82	Mechon M82	434	White	0
76		76		409	White	0
77		77		409	White	0
78		78		409	White	0
79		79		409	White	0
80		80		409	White	0
81		81		409	White	0
82		82		409	White	0
83		83		409	White	0
84		84		409	White	0
85		85		409	White	0
86		86		409	White	0
87		87		409	White	0
88		88		409	White	0
89		89		409	White	0
90		90		409	White	0
91		91		409	White	0
92		92		409	White	0
93		93		409	White	0
94		94		409	White	0
95		95		409	White	0
96		96		518	White	0
97		Bunny	Bunny	491	White	0
98		Bunny (No Use)	Bunny (No Use)	490	White	0
99		Bunny (Resist)	Bunny (Resist)	490	White	0
100		Test Device	Test Device	424	White	0
101	3 refs poplist0201#42 poplist0201#52 poplist0201#60	Clap Bunniv	Clap Bunniv	491	Bunniv	0
102	5 refs JNL_quest0101#Monster Quest 4 - Part 1 poplist0201#42 poplist0201#50 poplist0201#52 poplist0201#60	Willow Bunniv	Willow Bunniv	493	Bunniv	0
103	3 refs poplist0201#51 poplist0201#55 poplist0201#59	Iron Bunniv	Iron Bunniv	492	Bunniv	0
104	3 refs poplist0201#46 poplist0201#47 poplist0201#48	Eater Caterpile	Eater Caterpile	567	Caterpile	0
105	2 refs poplist0201#44 poplist0201#45	Cute Caterpile	Cute Caterpile	567	Caterpile	0
106	2 refs poplist0201#43 poplist0201#54	Prom Skeeter	Prom Skeeter	570	Skeeter	0
107		107		570	Skeeter	0
108	6 refs JNL_quest0101#Monster Quest 4 - Part 3 poplist0201#61 poplist0201#62 poplist0201#63 poplist0201#64 poplist0201#65	Mell Lizard	Mell Lizard	524	Lizard	0
109	3 refs poplist0201#49 poplist0201#53 poplist0201#56	Air Vang	Air Vang	553	Vang	0
110	3 refs JNL_quest0101#Monster Quest 4 - Part 2 poplist0201#57 poplist0201#58	Singing Brog	Singing Brog	518	Brog	0
111	1 refs poplist0201#20	Cellar Bugworm	Cellar Bugworm	567	Caterpile	0
112	2 refs JNL_quest0101#Challenge 4 poplist0201#21	Wallslide Gwynry	Wallslide Gwynry	524	Lizard	0
113	1 refs poplist0201#22	Mining Patrichev	Mining Patrichev	492	Bunniv	0
114		114		409	Flamii	0
115	10 refs poplist0201#72 poplist0201#73 poplist0201#74 poplist0201#78 poplist0201#80 poplist0201#82 poplist0201#84 poplist0201#86 poplist0201#88 poplist0201#96	Worker Arachno	Worker Arachno	556	Arachno	0
116	1 refs poplist0201#75	Director Arachno	Director Arachno	557	Arachno	0
117	1 refs poplist0201#74	Officer Arachno	Officer Arachno	557	Arachno	0
118	7 refs poplist0201#77 poplist0201#79 poplist0201#81 poplist0201#83 poplist0201#85 poplist0201#87 poplist0201#95	Arachno Pod	Arachno Pod	652	Arachno	0
119	1 refs poplist0201#71	Noble Brog	Noble Brog	520	Brog	0
120	2 refs poplist0201#70 poplist0201#89	Desert Krabble	Desert Krabble	584	Krabble	0
121	2 refs poplist0201#89 poplist0201#90	Jewel Krabble	Jewel Krabble	585	Krabble	0
122	2 refs poplist0201#66 poplist0201#67	Medium Skeeter	Medium Skeeter	570	Skeeter	0
123	2 refs poplist0201#91 poplist0201#92	Cave Skeeter	Cave Skeeter	570	Skeeter	0
124		124		493	Bunniv	0
125		125		492	Bunniv	0
126		Agouti Caterpile	Agouti Caterpile	567	Caterpile	0
127	3 refs JNL_quest0101#Jackson's Awakening poplist0201#93 poplist0201#94	Tephra Lizard	Tephra Lizard	524	Lizard	0
128	4 refs JNL_quest0101#A Young Captain's Suffering poplist0201#68 poplist0201#69 poplist0201#76	Wind Vang	Wind Vang	553	Vang	0
129	1 refs poplist0201#97	Arm Bunnit	Arm Bunnit	488	Bunnit	0
130	1 refs poplist0201#98	Plane Bunnit	Plane Bunnit	489	Bunnit	0
131		131		566	Caterpile	0
132	2 refs poplist0201#99 poplist0201#101	Weather Flier	Weather Flier	574	Flier	0
133	2 refs poplist0201#100 poplist0201#102	Night Wisp	Night Wisp	575	Wisp	0
134	1 refs poplist0201#1	Arachno Queen	Arachno Queen	563	Bug	0
135	11 refs poplist0201#2 poplist0201#3 poplist0201#5 poplist0201#6 poplist0201#8 poplist0201#9 poplist0201#11 poplist0201#12 poplist0201#14 poplist0201#15 poplist0201#17	Soldier Arachno	Soldier Arachno	556	Bug	0
136	6 refs poplist0201#2 poplist0201#4 poplist0201#7 poplist0201#10 poplist0201#13 poplist0201#16	Captain Arachno	Captain Arachno	557	Bug	0
137	5 refs poplist0201#3 poplist0201#6 poplist0201#9 poplist0201#12 poplist0201#15	Arachno Pod	Arachno Pod	652	Bug	0
138	2 refs poplist0201#18 poplist0201#19	Worker Arachno	Worker Arachno	556	White	0
139	2 refs poplist0201#18 poplist0201#19	Director Arachno	Director Arachno	557	White	0
140		140		409	Flamii	0
141	5 refs poplist0201#105 poplist0201#106 poplist0201#107 poplist0201#140 poplist0201#141	Falsel Bunniv	Falsel Bunniv	495	Bunniv	0
142	3 refs poplist0201#105 poplist0201#107 poplist0201#140	Fascia Bunniv	Fascia Bunniv	496	Bunniv	0
143	2 refs poplist0201#110 poplist0201#111	Jada Arachno	Jada Arachno	556	Arachno	0
144	7 refs poplist0201#110 poplist0201#111 poplist0201#113 poplist0201#115 poplist0201#117 poplist0201#119 poplist0201#121	Jadals Arachno	Jadals Arachno	557	Arachno	0
145	19 refs poplist0201#131 poplist0201#132 poplist0201#134 poplist0201#136 poplist0201#138 poplist0201#143 poplist0201#148 poplist0201#149 poplist0201#150 poplist0201#152 poplist0201#154 poplist0201#156 poplist0201#158 poplist0201#160 poplist0201#161 poplist0201#163 poplist0201#165 poplist0201#167 poplist0201#169	Panasowa Arachno	Panasowa Arachno	558	Arachno	0
146	7 refs poplist0201#131 poplist0201#132 poplist0201#148 poplist0201#149 poplist0201#150 poplist0201#160 poplist0201#161	Vilae Arachno	Vilae Arachno	559	Arachno	0
147	3 refs poplist0201#145 poplist0201#146 poplist0201#147	Sonicia Gogol	Sonicia Gogol	515	Gogol	0
148	5 refs poplist0201#122 poplist0201#129 poplist0201#130 poplist0201#139 poplist0201#159	Brabilam Vang	Brabilam Vang	554	Vang	0
149	5 refs poplist0201#104 poplist0201#108 poplist0201#109 poplist0201#127 poplist0201#128	Dorsiar Lizard	Dorsiar Lizard	524	Lizard	0
150	1 refs poplist0201#103	Femuny Wisp	Femuny Wisp	575	Wisp	0
151	4 refs poplist0201#123 poplist0201#124 poplist0201#125 poplist0201#126	Rhoen Quadwing	Rhoen Quadwing	550	Quadwing	0
152	16 refs poplist0201#112 poplist0201#114 poplist0201#116 poplist0201#118 poplist0201#120 poplist0201#133 poplist0201#135 poplist0201#137 poplist0201#151 poplist0201#153 poplist0201#155 poplist0201#157 poplist0201#162 poplist0201#164 poplist0201#166 poplist0201#168	Hanz Pod	Hanz Pod	652	Arachno	0
153	2 refs poplist0201#142 poplist0201#144	Young Brog	Young Brog	520	Brog	0
154	1 refs poplist0201#23	Gluttonous Eugen	Gluttonous Eugen	520	Brog	0
155	1 refs poplist0201#24	Musical Vanflare	Musical Vanflare	553	Vang	0
156	1 refs poplist0201#25	Solid Konev	Solid Konev	585	Krabble	0
157	1 refs poplist0201#26	Reckless Galdon	Reckless Galdon	464	White	0
158	1 refs poplist0201#27	Plump Sprahda	Plump Sprahda	559	Arachno	0
159	1 refs poplist0201#41	Dazzling Tolosnia	Dazzling Tolosnia	564	Queen	0
160	1 refs poplist0201#28	Protective Torquidon	Protective Torquidon	535	Tokilos	0
161	1 refs poplist0201#29	Judicious Bunnitzol	Judicious Bunnitzol	496	Bunniv	0
162	1 refs poplist0201#30	Erratic Goliante	Erratic Goliante	516	Gogol	0
163	2 refs JNL_quest0301#139 poplist0201#31	Reckless Zanden	Reckless Zanden	517	Gogol	0
164	2 refs JNL_quest0301#140 poplist0201#32	Firework Geldesia	Firework Geldesia	564	Queen	0
165	2 refs JNL_quest0101#A Young Captain's Rise poplist0201#33	Lurker Brog	Lurker Brog	520	Brog	0
166	2 refs JNL_quest0101#A Young Captain's Rise poplist0201#34	Lurker Krabble	Lurker Krabble	585	Krabble	0
167	2 refs JNL_quest0101#Jackson the Poet poplist0201#35	Dim Wisp	Dim Wisp	575	Wisp	0
168	2 refs JNL_quest0201#Clearing Obstructions poplist0201#37	Devoted Arachno	Devoted Arachno	558	Arachno	0
169	2 refs JNL_quest0201#Clearing Obstructions poplist0201#38	Resolute Arachno	Resolute Arachno	558	Arachno	0
170	2 refs JNL_quest0201#Clearing Obstructions poplist0201#39	Zealous Arachno	Zealous Arachno	559	Arachno	0
171	1 refs poplist0201#40	Satisfied Gogol	Satisfied Gogol	515	Gogol	0
172		172		409	Flamii	0
173	1 refs poplist0201#36	Greedy Arachno	Greedy Arachno	558	Arachno	0
174		174		409	White	0
175		175		409	White	0
176		176		409	White	0
177		177		409	White	0
178		178		409	White	0
179		179		409	White	0
180		180		409	White	0
181		181		409	White	0
182		182		409	White	0
183		183		409	White	0
184		184		409	White	0
185		185		409	White	0
186		186		409	White	0
187		187		409	White	0
188		188		409	White	0
189		189		409	White	0
190		190		409	White	0
191		191		409	White	0
192		192		409	White	0
193		193		409	White	0
194		194		409	White	0
195		195		409	White	0
196		196		409	White	0
197		197		409	White	0
198		198		409	White	0
199		199		409	White	0
200		200		409	White	0
201	10 refs poplist0301#38 poplist0301#39 poplist0301#51 poplist0301#52 poplist0301#53 poplist0301#54 poplist0301#70 poplist0301#126 poplist0301#142 poplist0301#191	Leg Armu	Leg Armu	503	Armu	0
202	8 refs JNL_quest0301#Monster Quest 1 - Part 1 poplist0301#38 poplist0301#39 poplist0301#51 poplist0301#52 poplist0301#70 poplist0301#191 poplist0301#192	Leg Ardun	Leg Ardun	505	Ardun	0
203	12 refs poplist0301#38 poplist0301#39 poplist0301#51 poplist0301#52 poplist0301#54 poplist0301#70 poplist0301#128 poplist0301#142 poplist0301#144 poplist0301#145 poplist0301#191 poplist0301#192	Daughter Armu	Daughter Armu	503	Armu	0
204	3 refs poplist0301#127 poplist0301#141 poplist0301#143	Magnis Ardun	Magnis Ardun	506	Ardun	0
205	15 refs JNL_quest0301#Monster Quest 1 - Part 4 poplist0301#13 poplist0301#56 poplist0301#58 poplist0301#60 poplist0301#62 poplist0301#64 poplist0301#66 poplist0301#68 poplist0301#129 poplist0301#183 poplist0301#184 poplist0301#188 poplist0301#189 poplist0301#190	Leg Volff	Leg Volff	500	Volff	0
206	5 refs poplist0301#183 poplist0301#184 poplist0301#188 poplist0301#189 poplist0301#190	Leader Volff	Leader Volff	500	Volff	0
207	5 refs poplist0301#130 poplist0301#131 poplist0301#185 poplist0301#186 poplist0301#187	Ugly Volff	Ugly Volff	500	Volff	0
208	3 refs poplist0301#40 poplist0301#43 poplist0301#45	Black Flamii	Black Flamii	540	Flamii	0
209	12 refs poplist0301#41 poplist0301#44 poplist0301#46 poplist0301#274 poplist0301#275 poplist0301#279 poplist0301#280 poplist0301#284 poplist0301#285 poplist0301#288 poplist0301#290 poplist0301#291	Lahar Flamii	Lahar Flamii	539	Flamii	0
210	6 refs poplist0301#225 poplist0301#226 poplist0301#227 poplist0301#228 poplist0301#229 poplist0301#230	Oasis Flamii	Oasis Flamii	541	Flamii	0
211	2 refs poplist0301#106 poplist0301#107	Slugger Bunnit	Slugger Bunnit	489	Bunnit	0
212	2 refs poplist0301#106 poplist0301#107	Craft Bunnit	Craft Bunnit	490	Bunnit	0
213	2 refs JNL_quest0301#Monster Quest 1 - Part 2 poplist0301#108	Maker Bunnit	Maker Bunnit	490	Bunnit	0
214	5 refs poplist0301#109 poplist0301#110 poplist0301#111 poplist0301#112 poplist0301#175	Easy Hox	Easy Hox	497	Hox	0
215	9 refs poplist0301#215 poplist0301#216 poplist0301#217 poplist0301#218 poplist0301#219 poplist0301#221 poplist0301#223 poplist0301#224 poplist0301#271	Dark Hox	Dark Hox	497	Hox	0
216	5 refs poplist0301#218 poplist0301#219 poplist0301#220 poplist0301#222 poplist0301#224	White Hox	White Hox	498	Hox	0
217	6 refs poplist0301#176 poplist0301#177 poplist0301#178 poplist0301#179 poplist0301#401 poplist0301#402	Leg Arachno	Leg Arachno	556	Arachno	0
218	13 refs poplist0301#320 poplist0301#321 poplist0301#322 poplist0301#323 poplist0301#326 poplist0301#328 poplist0301#330 poplist0301#359 poplist0301#360 poplist0301#361 poplist0301#363 poplist0301#365 poplist0301#367	Admiral Arachno	Admiral Arachno	556	Arachno	0
219	6 refs poplist0301#320 poplist0301#321 poplist0301#323 poplist0301#359 poplist0301#360 poplist0301#361	General Arachno	General Arachno	557	Arachno	0
220	10 refs poplist0301#172 poplist0301#173 poplist0301#174 poplist0301#181 poplist0301#182 poplist0301#256 poplist0301#257 poplist0301#258 poplist0301#267 poplist0301#269	Leg Antol	Leg Antol	560	Antol	0
221	6 refs poplist0301#257 poplist0301#258 poplist0301#259 poplist0301#261 poplist0301#263 poplist0301#265	Prairie Antol	Prairie Antol	560	Antol	0
222	9 refs JNL_quest0301#Monster Quest 2 poplist0301#172 poplist0301#173 poplist0301#174 poplist0301#181 poplist0301#182 poplist0301#256 poplist0301#267 poplist0301#269	Basin Antol	Basin Antol	561	Antol	0
223	4 refs poplist0301#259 poplist0301#261 poplist0301#263 poplist0301#265	Ravine Antol	Ravine Antol	561	Antol	0
224		Antol King	Antol King	565	King	0
225	1 refs poplist0301#180	Gust Vang	Gust Vang	553	Vang	0
226	7 refs JNL_quest0401#Nic's Training poplist0301#270 poplist0301#324 poplist0301#331 poplist0301#344 poplist0301#345 poplist0301#368	Tempest Vang	Tempest Vang	553	Vang	0
227	9 refs poplist0301#315 poplist0301#316 poplist0301#317 poplist0301#318 poplist0301#319 poplist0301#332 poplist0301#333 poplist0301#334 poplist0301#398	Royal Caterpile	Royal Caterpile	567	Caterpile	0
228	15 refs poplist0301#71 poplist0301#74 poplist0301#77 poplist0301#79 poplist0301#81 poplist0301#84 poplist0301#87 poplist0301#90 poplist0301#92 poplist0301#95 poplist0301#98 poplist0301#100 poplist0301#103 poplist0301#166 poplist0301#169	Fine Flier	Fine Flier	574	Flier	0
229	19 refs poplist0301#146 poplist0301#149 poplist0301#152 poplist0301#155 poplist0301#157 poplist0301#166 poplist0301#169 poplist0301#281 poplist0301#294 poplist0301#297 poplist0301#300 poplist0301#303 poplist0301#306 poplist0301#335 poplist0301#338 poplist0301#341 poplist0301#356 poplist0301#425 poplist0301#428	Clowd Flier	Clowd Flier	574	Flier	0
230	30 refs poplist0301#72 poplist0301#75 poplist0301#78 poplist0301#80 poplist0301#82 poplist0301#85 poplist0301#88 poplist0301#91 poplist0301#93 poplist0301#96 poplist0301#99 poplist0301#101 poplist0301#104 poplist0301#147 poplist0301#150 poplist0301#153 poplist0301#156 poplist0301#158 poplist0301#167 poplist0301#170 poplist0301#241 poplist0301#244 poplist0301#247 poplist0301#250 poplist0301#282 poplist0301#298 poplist0301#336 poplist0301#339 poplist0301#342 poplist0301#357	Light Wisp	Light Wisp	575	Wisp	0
231	11 refs poplist0301#295 poplist0301#298 poplist0301#301 poplist0301#304 poplist0301#307 poplist0301#336 poplist0301#339 poplist0301#342 poplist0301#357 poplist0301#426 poplist0301#429	Flash Wisp	Flash Wisp	575	Wisp	0
232	2 refs poplist0301#113 poplist0301#114	Leg Skeeter	Leg Skeeter	569	Skeeter	0
233	8 refs poplist0301#278 poplist0301#309 poplist0301#310 poplist0301#311 poplist0301#312 poplist0301#313 poplist0301#314 poplist0301#392	Leg Lizard	Leg Lizard	524	Lizard	0
234	3 refs poplist0301#403 poplist0301#404 poplist0301#417	Last Rhogul	Last Rhogul	543	Rhogul	0
235	7 refs poplist0301#276 poplist0301#277 poplist0301#286 poplist0301#287 poplist0301#289 poplist0301#292 poplist0301#293	Big Brog	Big Brog	518	Brog	0
236	8 refs JNL_quest0301#Monster Quest 1 - Part 3 poplist0301#55 poplist0301#57 poplist0301#59 poplist0301#61 poplist0301#63 poplist0301#65 poplist0301#67	Field Ponio	Field Ponio	513	Ponio	0
237	7 refs poplist0301#55 poplist0301#57 poplist0301#59 poplist0301#61 poplist0301#63 poplist0301#65 poplist0301#67	Niece Ponio	Niece Ponio	513	Ponio	0
238	11 refs poplist0301#48 poplist0301#49 poplist0301#50 poplist0301#69 poplist0301#115 poplist0301#123 poplist0301#124 poplist0301#125 poplist0301#136 poplist0301#195 poplist0301#196	Spear Tirkin	Spear Tirkin	633	Tirkin	0
239	3 refs poplist0301#133 poplist0301#399 poplist0301#420	Guard Tirkin	Guard Tirkin	633	Tirkin	0
